season_end_year,game_id,game_date,matchup,result,team_points,team_plus_minus,team_source_url,franchise
2002,20100828,2002-03-01,CHI vs. WAS,W,90,9,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,WAS
2002,20100814,2002-02-27,CHI @ DET,L,89,-12,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,DET
2002,20100804,2002-02-26,CHI vs. ORL,L,97,-15,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,ORL
2002,20100786,2002-02-23,CHI vs. GSW,W,105,14,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,GSW
2002,20100779,2002-02-22,CHI vs. PHX,W,91,8,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,PHX
2002,20100764,2002-02-20,CHI vs. NYK,W,113,4,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,NYK
2002,20100749,2002-02-18,CHI @ MIA,L,80,-22,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,MIA
2002,20100732,2002-02-16,CHI vs. CLE,L,101,-13,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,CLE
2002,20100726,2002-02-15,CHI vs. NJN,L,81,-25,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,BKN
2002,20100709,2002-02-13,CHI @ CHH,L,91,-22,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,CHA
2002,20100703,2002-02-12,CHI vs. MIL,W,96,4,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,MIL
2002,20100691,2002-02-06,CHI @ LAL,W,97,8,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,LAL
2002,20100672,2002-02-03,CHI @ POR,L,96,-5,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,POR
2002,20100662,2002-02-02,CHI @ SEA,W,97,6,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,OKC
2002,20100640,2002-01-30,CHI @ UTA,L,78,-12,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,UTA
2002,20100634,2002-01-29,CHI @ PHX,L,90,-1,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,PHX
2002,20100618,2002-01-26,CHI vs. MEM,W,95,3,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,MEM
2002,20100584,2002-01-22,CHI @ MIA,L,79,-13,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,MIA
