game_id,game_date,matchup,result,team_points,team_plus_minus,season_end_year,team_source_url,source_opponent,franchise
20100691,2002-02-06,CHI @ LAL,W,97,8,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,LAL,LAL
20100672,2002-02-03,CHI @ POR,L,96,-5,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,POR,POR
20100662,2002-02-02,CHI @ SEA,W,97,6,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,SEA,OKC
20100640,2002-01-30,CHI @ UTA,L,78,-12,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,UTA,UTA
20100634,2002-01-29,CHI @ PHX,L,90,-1,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,PHX,PHX
20100618,2002-01-26,CHI vs. MEM,W,95,3,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,MEM,MEM
20100584,2002-01-22,CHI @ MIA,L,79,-13,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,MIA,MIA
20100575,2002-01-21,CHI vs. IND,L,81,-12,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,IND,IND
20100564,2002-01-19,CHI vs. WAS,L,69,-8,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,WAS,WAS
20100545,2002-01-17,CHI @ ATL,W,94,3,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,ATL,ATL
20100533,2002-01-15,CHI vs. CHH,L,86,-8,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,CHH,CHA
20100514,2002-01-12,CHI vs. LAL,W,106,2,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,LAL,LAL
20100502,2002-01-11,CHI @ IND,L,90,-7,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,IND,IND
20100493,2002-01-09,CHI vs. TOR,L,73,-12,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,TOR,TOR
20100477,2002-01-07,CHI vs. SEA,L,88,-12,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,SEA,OKC
20100462,2002-01-05,CHI vs. UTA,L,111,-2,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,UTA,UTA
20100447,2002-01-04,CHI @ WAS,L,83,-6,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,WAS,WAS
20100438,2002-01-02,CHI vs. DAL,L,97,-10,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,DAL,DAL
20100430,2001-12-31,CHI vs. MIL,W,90,7,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,MIL,MIL
20100418,2001-12-29,CHI vs. CLE,W,103,23,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,CLE,CLE
20100403,2001-12-27,CHI @ DAL,L,74,-15,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,DAL,DAL
20100393,2001-12-26,CHI @ MEM,L,85,-22,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,MEM,MEM
20100375,2001-12-22,CHI vs. MIN,L,74,-21,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,MIN,MIN
