season_end_year,season,player_id,player,games,minutes,points,team_games,team_points,player_source_url,team_source_url,minutes_per_game,points_per_game,points_per_36,qualified
2003,2002–03,923,Donyell Marshall,78,2375.835,1042,82,7786,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2002-03&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2002-03&SeasonType=Regular%20Season&TeamID=1610612741,30.459423076923077,13.35897435897436,15.78897524449299,True
2003,2002–03,1594,Rick Brunson,17,193.79833333333335,60,82,7786,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2002-03&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2002-03&SeasonType=Regular%20Season&TeamID=1610612741,11.399901960784314,3.5294117647058822,11.145606687364012,False
2003,2002–03,1944,Eddie Robinson,64,1354.361666666667,364,82,7786,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2002-03&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2002-03&SeasonType=Regular%20Season&TeamID=1610612741,21.16190104166667,5.6875,9.675406741429233,True
2003,2002–03,2033,Marcus Fizer,38,807.555,445,82,7786,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2002-03&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2002-03&SeasonType=Regular%20Season&TeamID=1610612741,21.25144736842105,11.710526315789474,19.837658116165464,False
2003,2002–03,2037,Jamal Crawford,80,1987.9183333333333,858,82,7786,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2002-03&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2002-03&SeasonType=Regular%20Season&TeamID=1610612741,24.848979166666666,10.725,15.537861632478196,True
2003,2002–03,2053,Dalibor Bagaric,10,75.61666666666666,19,82,7786,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2002-03&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2002-03&SeasonType=Regular%20Season&TeamID=1610612741,7.561666666666666,1.9,9.045624862243775,False
2003,2002–03,2199,Tyson Chandler,75,1825.3116666666667,691,82,7786,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2002-03&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2002-03&SeasonType=Regular%20Season&TeamID=1610612741,24.33748888888889,9.213333333333333,13.62835753163615,True
2003,2002–03,2201,Eddy Curry,81,1576.3216666666667,849,82,7786,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2002-03&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2002-03&SeasonType=Regular%20Season&TeamID=1610612741,19.46076131687243,10.481481481481481,19.38944356746138,False
2003,2002–03,2239,Trenton Hassell,82,1996.7333333333331,342,82,7786,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2002-03&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2002-03&SeasonType=Regular%20Season&TeamID=1610612741,24.350406504065038,4.170731707317073,6.166071249707857,True
2003,2002–03,2398,Jay Williams,75,1961.19,714,82,7786,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2002-03&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2002-03&SeasonType=Regular%20Season&TeamID=1610612741,26.1492,9.52,13.10632830067459,True
2003,2002–03,2427,Roger Mason Jr.,17,114.24,30,82,7786,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2002-03&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2002-03&SeasonType=Regular%20Season&TeamID=1610612741,6.72,1.7647058823529411,9.453781512605042,False
2003,2002–03,2437,Lonny Baxter,55,683.6466666666666,262,82,7786,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2002-03&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2002-03&SeasonType=Regular%20Season&TeamID=1610612741,12.429939393939394,4.763636363636364,13.79660058314724,False
2004,2003–04,147,Jalen Rose,16,525.2366666666667,212,82,7355,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2003-04&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2003-04&SeasonType=Regular%20Season&TeamID=1610612741,32.82729166666667,13.25,14.530592558275316,False
2004,2003–04,213,Antonio Davis,65,2034.7683333333337,579,82,7355,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2003-04&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2003-04&SeasonType=Regular%20Season&TeamID=1610612741,31.30412820512821,8.907692307692308,10.243918021789538,True
2004,2003–04,383,Kendall Gill,56,1408.7683333333334,539,82,7355,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2003-04&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2003-04&SeasonType=Regular%20Season&TeamID=1610612741,25.15657738095238,9.625,13.773733793467343,True
2004,2003–04,916,Corie Blount,46,749.9416666666667,207,82,7355,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2003-04&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2003-04&SeasonType=Regular%20Season&TeamID=1610612741,16.303079710144928,4.5,9.936772860111342,False
2004,2003–04,923,Donyell Marshall,16,406.49,139,82,7355,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2003-04&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2003-04&SeasonType=Regular%20Season&TeamID=1610612741,25.405625,8.6875,12.310265935201357,False
2004,2003–04,937,Scottie Pippen,23,411.1166666666667,136,82,7355,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2003-04&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2003-04&SeasonType=Regular%20Season&TeamID=1610612741,17.87463768115942,5.913043478260869,11.909028256374915,False
2004,2003–04,966,Jerome Williams,53,1223.365,345,82,7355,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2003-04&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2003-04&SeasonType=Regular%20Season&TeamID=1610612741,23.082358490566037,6.509433962264151,10.152325757235168,True
