season_end_year,season,player_id,player,game_id,game_date,matchup,opponent,result,minutes,points,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,tov,pf,plus_minus,game_score,ts_pct,player_source_url,team_game_date,team_matchup,team_result,team_points,team_plus_minus,decade,pool,context_note,overtime_periods
1984,1983–84,76497,Quintin Dailey,0028300725,1984-03-10,CHI @ SDC,SDC,L,44.0,30,14,20.0,0.0,1.0,2,3.0,1.0,2.0,3.0,3.0,1.0,0.0,1.0,1.0,,24.200000000000003,70.35647279549718,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1984-03-10,CHI @ SDC,L,110,,1980s,Regular season,,0
1984,1983–84,77019,Rod Higgins,0028300725,1984-03-10,CHI @ SDC,SDC,L,20.0,2,1,4.0,0.0,0.0,0,0.0,1.0,3.0,4.0,2.0,2.0,0.0,1.0,3.0,,2.3999999999999995,25.0,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1984-03-10,CHI @ SDC,L,110,,1980s,Regular season,,0
1984,1983–84,76497,Quintin Dailey,0028300717,1984-03-08,CHI @ KCK,KCK,L,33.0,26,11,22.0,0.0,1.0,4,4.0,0.0,1.0,1.0,3.0,1.0,0.0,3.0,5.0,,13.399999999999999,54.71380471380471,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1984-03-08,CHI @ KCK,L,110,,1980s,Regular season,,0
1984,1983–84,77019,Rod Higgins,0028300717,1984-03-08,CHI @ KCK,KCK,L,15.0,6,3,4.0,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,,4.7,75.0,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1984-03-08,CHI @ KCK,L,110,,1980s,Regular season,,0
1984,1983–84,76497,Quintin Dailey,0028300702,1984-03-06,CHI vs. DET,DET,L,37.0,27,10,16.0,1.0,1.0,6,8.0,0.0,4.0,4.0,8.0,2.0,1.0,2.0,4.0,,24.899999999999995,69.15983606557377,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1984-03-06,CHI vs. DET,L,108,,1980s,Regular season,,0
1984,1983–84,77019,Rod Higgins,0028300702,1984-03-06,CHI vs. DET,DET,L,13.0,2,0,1.0,0.0,0.0,2,4.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,,0.09999999999999987,36.23188405797102,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1984-03-06,CHI vs. DET,L,108,,1980s,Regular season,,0
1984,1983–84,77019,Rod Higgins,0028300689,1984-03-03,CHI vs. ATL,ATL,W,6.0,3,1,1.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,,0.5,104.16666666666667,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1984-03-03,CHI vs. ATL,W,102,,1980s,Regular season,,0
1984,1983–84,76497,Quintin Dailey,0028300689,1984-03-03,CHI vs. ATL,ATL,W,28.0,22,8,13.0,0.0,0.0,6,9.0,0.0,1.0,1.0,3.0,0.0,0.0,3.0,4.0,,12.700000000000005,64.85849056603773,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1984-03-03,CHI vs. ATL,W,102,,1980s,Regular season,,0
1984,1983–84,76497,Quintin Dailey,0028300683,1984-03-02,CHI @ BOS,BOS,L,23.0,13,6,17.0,0.0,1.0,1,2.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,3.0,,5.600000000000001,36.35346756152125,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1984-03-02,CHI @ BOS,L,100,,1980s,Regular season,,0
1984,1983–84,77019,Rod Higgins,0028300683,1984-03-02,CHI @ BOS,BOS,L,14.0,4,2,3.0,0.0,0.0,0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,4.7,66.66666666666666,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1984-03-02,CHI @ BOS,L,100,,1980s,Regular season,,0
1984,1983–84,76497,Quintin Dailey,0028300673,1984-02-29,CHI @ MIL,MIL,L,38.0,14,6,17.0,0.0,1.0,2,2.0,1.0,0.0,1.0,5.0,1.0,0.0,5.0,3.0,,3.5,39.14988814317674,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1984-02-29,CHI @ MIL,L,83,,1980s,Regular season,,0
1984,1983–84,77019,Rod Higgins,0028300673,1984-02-29,CHI @ MIL,MIL,L,21.0,7,2,5.0,0.0,0.0,3,6.0,3.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,,4.1,45.81151832460733,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1984-02-29,CHI @ MIL,L,83,,1980s,Regular season,,0
1984,1983–84,76497,Quintin Dailey,0028300662,1984-02-28,CHI vs. LAL,LAL,L,20.0,8,2,8.0,0.0,0.0,4,4.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,,4.5,40.98360655737705,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1984-02-28,CHI vs. LAL,L,108,,1980s,Regular season,,0
1984,1983–84,77019,Rod Higgins,0028300662,1984-02-28,CHI vs. LAL,LAL,L,24.0,7,3,5.0,0.0,1.0,1,3.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,,6.3,55.379746835443036,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1984-02-28,CHI vs. LAL,L,108,,1980s,Regular season,,0
1984,1983–84,76497,Quintin Dailey,0028300651,1984-02-25,CHI @ ATL,ATL,L,17.0,4,2,12.0,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,,-5.099999999999999,16.666666666666664,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1984-02-25,CHI @ ATL,L,87,,1980s,Regular season,,0
1984,1983–84,77019,Rod Higgins,0028300651,1984-02-25,CHI @ ATL,ATL,L,21.0,10,4,8.0,0.0,0.0,2,2.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,3.0,,7.1000000000000005,56.3063063063063,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1984-02-25,CHI @ ATL,L,87,,1980s,Regular season,,0
1984,1983–84,76497,Quintin Dailey,0028300642,1984-02-24,CHI vs. WAS,WAS,L,28.0,21,8,21.0,0.0,1.0,5,5.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,,11.099999999999998,45.258620689655174,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1984-02-24,CHI vs. WAS,L,96,,1980s,Regular season,,0
1984,1983–84,77019,Rod Higgins,0028300642,1984-02-24,CHI vs. WAS,WAS,L,22.0,11,5,8.0,0.0,1.0,1,2.0,1.0,4.0,5.0,2.0,1.0,1.0,1.0,0.0,,11.0,61.936936936936924,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1984-02-24,CHI vs. WAS,L,96,,1980s,Regular season,,0
1984,1983–84,77019,Rod Higgins,0028300628,1984-02-22,CHI @ IND,IND,W,31.0,18,5,7.0,0.0,0.0,8,9.0,2.0,3.0,5.0,2.0,1.0,1.0,1.0,4.0,,17.499999999999996,82.11678832116787,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1984-02-22,CHI @ IND,W,121,,1980s,Regular season,,0
1984,1983–84,76497,Quintin Dailey,0028300628,1984-02-22,CHI @ IND,IND,W,27.0,25,8,16.0,0.0,0.0,9,9.0,1.0,3.0,4.0,0.0,1.0,0.0,0.0,3.0,,18.4,62.62525050100201,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1984-02-22,CHI @ IND,W,121,,1980s,Regular season,,0
1984,1983–84,77019,Rod Higgins,0028300626,1984-02-21,CHI vs. UTH,UTH,L,25.0,6,3,8.0,0.0,0.0,0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,4.0,,0.7000000000000006,37.5,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1984-02-21,CHI vs. UTH,L,95,,1980s,Regular season,,0
