subject,scope,zone,fga,fgm,fg,lg_fg,fg_rel,fga_share_pct,lg_fga_share_pct,pps,lg_pps,point_value,rated
Norman Powell,"Full season, all teams",Top of Key 3,105,38,0.3619,0.3478,1.4081,11.7318,10.2441,1.0857,1.0435,3,True
Norman Powell,"Full season, all teams",Right Wing 3,104,41,0.3942,0.3482,4.6058,11.6201,9.5013,1.1827,1.0445,3,True
Norman Powell,"Full season, all teams",Right Corner 3,25,8,0.3200,0.3857,-6.5689,2.7933,5.2291,0.9600,1.1571,3,True
Josh Giddey,"Full season, all teams",Restricted Area,221,127,0.5747,0.6709,-9.6266,30.8229,28.4167,1.1493,1.3419,2,True
Josh Giddey,"Full season, all teams",In The Paint (Non-RA),171,81,0.4737,0.4452,2.8525,23.8494,20.2058,0.9474,0.8903,2,True
Josh Giddey,"Full season, all teams",Left Baseline,4,0,0.0000,0.4261,-42.6133,0.5579,1.4702,0.0000,0.8523,2,False
Josh Giddey,"Full season, all teams",Left Mid-Range,11,2,0.1818,0.3942,-21.2364,1.5342,2.3371,0.3636,0.7884,2,False
Josh Giddey,"Full season, all teams",Center Mid-Range,10,1,0.1000,0.4260,-32.6041,1.3947,2.2673,0.2000,0.8521,2,False
Josh Giddey,"Full season, all teams",Right Mid-Range,10,3,0.3000,0.4184,-11.8377,1.3947,2.3786,0.6000,0.8368,2,False
Josh Giddey,"Full season, all teams",Right Baseline,7,4,0.5714,0.4276,14.3871,0.9763,1.4140,1.1429,0.8551,2,False
Josh Giddey,"Full season, all teams",Left Corner 3,20,6,0.3000,0.3866,-8.6578,2.7894,5.6160,0.9000,1.1597,3,True
Josh Giddey,"Full season, all teams",Left Wing 3,89,33,0.3708,0.3543,1.6533,12.4128,10.9199,1.1124,1.0628,3,True
Josh Giddey,"Full season, all teams",Top of Key 3,100,35,0.3500,0.3478,0.2176,13.9470,10.2441,1.0500,1.0435,3,True
Josh Giddey,"Full season, all teams",Right Wing 3,56,22,0.3929,0.3482,4.4684,7.8103,9.5013,1.1786,1.0445,3,True
Josh Giddey,"Full season, all teams",Right Corner 3,18,7,0.3889,0.3857,0.3200,2.5105,5.2291,1.1667,1.1571,3,False
Tre Jones,"Full season, all teams",Restricted Area,324,224,0.6914,0.6709,2.0431,52.5122,28.4167,1.3827,1.3419,2,True
Tre Jones,"Full season, all teams",In The Paint (Non-RA),140,66,0.4714,0.4452,2.6269,22.6904,20.2058,0.9429,0.8903,2,True
Tre Jones,"Full season, all teams",Left Baseline,6,2,0.3333,0.4261,-9.2800,0.9724,1.4702,0.6667,0.8523,2,False
Tre Jones,"Full season, all teams",Left Mid-Range,4,2,0.5000,0.3942,10.5818,0.6483,2.3371,1.0000,0.7884,2,False
Tre Jones,"Full season, all teams",Center Mid-Range,4,2,0.5000,0.4260,7.3959,0.6483,2.2673,1.0000,0.8521,2,False
Tre Jones,"Full season, all teams",Right Mid-Range,3,1,0.3333,0.4184,-8.5044,0.4862,2.3786,0.6667,0.8368,2,False
Tre Jones,"Full season, all teams",Right Baseline,6,3,0.5000,0.4276,7.2443,0.9724,1.4140,1.0000,0.8551,2,False
Tre Jones,"Full season, all teams",Left Corner 3,36,11,0.3056,0.3866,-8.1022,5.8347,5.6160,0.9167,1.1597,3,True
Tre Jones,"Full season, all teams",Left Wing 3,29,10,0.3448,0.3543,-0.9426,4.7002,10.9199,1.0345,1.0628,3,True
Tre Jones,"Full season, all teams",Top of Key 3,29,8,0.2759,0.3478,-7.1962,4.7002,10.2441,0.8276,1.0435,3,True
Tre Jones,"Full season, all teams",Right Wing 3,25,8,0.3200,0.3482,-2.8173,4.0519,9.5013,0.9600,1.0445,3,True
Tre Jones,"Full season, all teams",Right Corner 3,11,4,0.3636,0.3857,-2.2053,1.7828,5.2291,1.0909,1.1571,3,False
Nic Claxton,"Full season, all teams",Restricted Area,351,245,0.6980,0.6709,2.7079,60.2058,28.4167,1.3960,1.3419,2,True
Nic Claxton,"Full season, all teams",In The Paint (Non-RA),187,72,0.3850,0.4452,-6.0133,32.0755,20.2058,0.7701,0.8903,2,True
Nic Claxton,"Full season, all teams",Left Baseline,4,2,0.5000,0.4261,7.3867,0.6861,1.4702,1.0000,0.8523,2,False
Nic Claxton,"Full season, all teams",Left Mid-Range,9,4,0.4444,0.3942,5.0262,1.5437,2.3371,0.8889,0.7884,2,False
Nic Claxton,"Full season, all teams",Center Mid-Range,7,3,0.4286,0.4260,0.2530,1.2007,2.2673,0.8571,0.8521,2,False
Nic Claxton,"Full season, all teams",Right Mid-Range,4,3,0.7500,0.4184,33.1623,0.6861,2.3786,1.5000,0.8368,2,False
Nic Claxton,"Full season, all teams",Right Baseline,2,1,0.5000,0.4276,7.2443,0.3431,1.4140,1.0000,0.8551,2,False
Nic Claxton,"Full season, all teams",Left Corner 3,1,0,0.0000,0.3866,-38.6578,0.1715,5.6160,0.0000,1.1597,3,False
Nic Claxton,"Full season, all teams",Left Wing 3,5,1,0.2000,0.3543,-15.4254,0.8576,10.9199,0.6000,1.0628,3,False
Nic Claxton,"Full season, all teams",Top of Key 3,12,2,0.1667,0.3478,-18.1157,2.0583,10.2441,0.5000,1.0435,3,False
Nic Claxton,"Full season, all teams",Right Wing 3,1,0,0.0000,0.3482,-34.8173,0.1715,9.5013,0.0000,1.0445,3,False
Nic Claxton,"Full season, all teams",Right Corner 3,0,0,,0.3857,,0.0000,5.2291,,1.1571,3,False
Patrick Williams,"Full season, all teams",Restricted Area,107,52,0.4860,0.6709,-18.4946,22.3849,28.4167,0.9720,1.3419,2,True
Patrick Williams,"Full season, all teams",In The Paint (Non-RA),76,20,0.2632,0.4452,-18.2002,15.8996,20.2058,0.5263,0.8903,2,True
Patrick Williams,"Full season, all teams",Left Baseline,2,1,0.5000,0.4261,7.3867,0.4184,1.4702,1.0000,0.8523,2,False
Patrick Williams,"Full season, all teams",Left Mid-Range,4,2,0.5000,0.3942,10.5818,0.8368,2.3371,1.0000,0.7884,2,False
Patrick Williams,"Full season, all teams",Center Mid-Range,6,3,0.5000,0.4260,7.3959,1.2552,2.2673,1.0000,0.8521,2,False
Patrick Williams,"Full season, all teams",Right Mid-Range,3,2,0.6667,0.4184,24.8290,0.6276,2.3786,1.3333,0.8368,2,False
Patrick Williams,"Full season, all teams",Right Baseline,6,3,0.5000,0.4276,7.2443,1.2552,1.4140,1.0000,0.8551,2,False
Patrick Williams,"Full season, all teams",Left Corner 3,27,9,0.3333,0.3866,-5.3245,5.6485,5.6160,1.0000,1.1597,3,True
Patrick Williams,"Full season, all teams",Left Wing 3,77,29,0.3766,0.3543,2.2370,16.1088,10.9199,1.1299,1.0628,3,True
Patrick Williams,"Full season, all teams",Top of Key 3,66,24,0.3636,0.3478,1.5812,13.8075,10.2441,1.0909,1.0435,3,True
Patrick Williams,"Full season, all teams",Right Wing 3,84,25,0.2976,0.3482,-5.0554,17.5732,9.5013,0.8929,1.0445,3,True
Patrick Williams,"Full season, all teams",Right Corner 3,20,8,0.4000,0.3857,1.4311,4.1841,5.2291,1.2000,1.1571,3,True
Isaac Okoro,"Full season, all teams",Restricted Area,203,128,0.6305,0.6709,-4.0385,44.2266,28.4167,1.2611,1.3419,2,True
Isaac Okoro,"Full season, all teams",In The Paint (Non-RA),34,10,0.2941,0.4452,-15.1042,7.4074,20.2058,0.5882,0.8903,2,True
Isaac Okoro,"Full season, all teams",Left Baseline,2,1,0.5000,0.4261,7.3867,0.4357,1.4702,1.0000,0.8523,2,False
