loc_x,loc_y,shot_distance,shot_made,shot_type
-75,18,7,True,2PT
18,2,1,True,2PT
16,2,1,True,2PT
-228,25,22,False,3PT
0,13,1,False,2PT
-48,32,5,False,2PT
2,1,0,True,2PT
-16,-1,1,True,2PT
206,150,25,False,3PT
50,26,5,False,2PT
11,27,2,False,2PT
-7,10,1,False,2PT
11,11,1,True,2PT
-2,17,1,True,2PT
12,63,6,False,2PT
-6,1,0,True,2PT
22,14,2,False,2PT
-159,212,26,False,3PT
-228,-32,23,False,3PT
-12,8,1,False,2PT
-2,79,7,False,2PT
37,75,8,True,2PT
-15,8,1,True,2PT
-12,6,1,True,2PT
-16,13,2,True,2PT
-16,13,2,False,2PT
-18,4,1,False,2PT
0,14,1,True,2PT
10,88,8,True,2PT
-13,17,2,True,2PT
11,7,1,True,2PT
12,17,2,False,2PT
-229,-3,22,False,3PT
-15,16,2,False,2PT
12,5,1,True,2PT
16,4,1,False,2PT
-167,188,25,False,3PT
-143,205,24,False,3PT
-116,10,11,False,2PT
-64,41,7,False,2PT
6,16,1,True,2PT
10,0,1,False,2PT
10,8,1,True,2PT
-152,212,26,True,3PT
5,2,0,True,2PT
-233,-21,23,False,3PT
59,256,26,True,3PT
37,109,11,False,2PT
129,243,27,True,3PT
-54,102,11,True,2PT
15,6,1,False,2PT
-6,4,0,False,2PT
-11,128,12,True,2PT
-40,258,26,True,3PT
-241,20,24,False,3PT
-15,25,2,False,2PT
11,27,2,True,2PT
89,107,13,False,2PT
5,269,26,False,3PT
13,112,11,True,2PT
-18,12,2,True,2PT
62,11,6,True,2PT
23,47,5,True,2PT
-225,6,22,True,3PT
142,222,26,False,3PT
53,53,7,True,2PT
21,5,2,True,2PT
56,63,8,False,2PT
20,-10,2,True,2PT
-11,52,5,False,2PT
6,82,8,True,2PT
47,34,5,False,2PT
-124,225,25,False,3PT
-45,11,4,False,2PT
20,35,4,True,2PT
20,47,5,True,2PT
-127,257,28,False,3PT
-7,83,8,True,2PT
-229,42,23,False,3PT
-20,52,5,True,2PT
194,157,24,False,3PT
4,86,8,True,2PT
93,22,9,True,2PT
-150,218,26,False,3PT
-230,5,23,True,3PT
87,31,9,True,2PT
-232,26,23,False,3PT
25,5,2,True,2PT
-237,12,23,True,3PT
-21,17,2,False,2PT
-150,201,25,False,3PT
-67,104,12,True,2PT
0,0,0,False,2PT
-93,56,10,True,2PT
-61,78,9,False,2PT
36,13,3,True,2PT
37,16,4,False,2PT
-40,29,4,True,2PT
19,24,3,False,2PT
4,16,1,True,2PT
0,0,0,False,2PT
-235,68,24,False,3PT
13,-11,1,True,2PT
29,29,4,True,2PT
-152,189,24,False,3PT
15,21,2,False,2PT
-2,75,7,False,2PT
-15,18,2,True,2PT
-71,69,9,False,2PT
9,42,4,True,2PT
85,21,8,False,2PT
4,21,2,True,2PT
0,0,0,True,2PT
13,29,3,True,2PT
31,20,3,True,2PT
6,41,4,True,2PT
-23,21,3,True,2PT
31,16,3,True,2PT
