loc_x,loc_y,shot_distance,shot_made,shot_type
232,83,24,False,3PT
-172,178,24,False,3PT
0,0,0,False,2PT
-200,169,26,False,3PT
-227,12,22,True,3PT
151,201,25,False,3PT
7,-3,0,False,2PT
-13,9,1,False,2PT
5,5,0,True,2PT
-61,247,25,True,3PT
-229,-6,22,False,3PT
-163,225,27,False,3PT
-16,253,25,True,3PT
-225,47,22,False,3PT
0,0,0,True,2PT
-4,28,2,False,2PT
-32,14,3,False,2PT
-81,226,24,True,3PT
112,221,24,False,3PT
159,225,27,False,3PT
-223,108,24,False,3PT
-22,3,2,False,2PT
0,0,0,True,2PT
225,-7,22,False,3PT
-109,222,24,True,3PT
-10,11,1,False,2PT
4,11,1,True,2PT
5,10,1,True,2PT
9,15,1,False,2PT
59,243,25,False,3PT
32,42,5,True,2PT
-214,150,26,False,3PT
130,216,25,False,3PT
-54,252,25,False,3PT
-4,6,0,True,2PT
-164,212,26,False,3PT
1,36,3,False,2PT
-239,-3,23,True,3PT
-178,190,26,False,3PT
205,133,24,True,3PT
4,8,0,True,2PT
-2,12,1,True,2PT
-47,254,25,False,3PT
-222,62,23,False,3PT
-26,0,2,False,2PT
-225,-10,22,False,3PT
0,-1,0,True,2PT
185,173,25,False,3PT
-104,232,25,False,3PT
-25,264,26,True,3PT
0,0,0,True,2PT
-9,13,1,True,2PT
-142,214,25,False,3PT
-234,-3,23,True,3PT
7,13,1,False,2PT
1,13,1,True,2PT
-116,242,26,False,3PT
-1,4,0,True,2PT
5,260,26,False,3PT
-4,10,1,False,2PT
142,223,26,True,3PT
-9,10,1,True,2PT
-172,190,25,False,3PT
-229,37,23,False,3PT
-11,12,1,False,2PT
1,13,1,True,2PT
-172,178,24,False,3PT
-13,20,2,False,2PT
-7,4,0,True,2PT
185,189,26,False,3PT
159,200,25,True,3PT
-10,37,3,False,2PT
-227,-33,22,False,3PT
-80,248,26,True,3PT
-33,41,5,True,2PT
2,10,1,True,2PT
55,23,5,False,2PT
-45,26,5,True,2PT
-85,253,26,False,3PT
13,5,1,False,2PT
-154,206,25,True,3PT
-4,4,0,True,2PT
11,35,3,True,2PT
37,52,6,True,2PT
-235,25,23,True,3PT
-43,5,4,True,2PT
127,230,26,False,3PT
17,34,3,True,2PT
-243,64,25,False,3PT
71,38,8,False,2PT
0,39,3,False,2PT
61,251,25,True,3PT
-44,19,4,True,2PT
234,32,23,True,3PT
175,208,27,True,3PT
-36,20,4,False,2PT
44,16,4,False,2PT
-28,15,3,False,2PT
11,272,27,True,3PT
225,153,27,False,3PT
94,256,27,False,3PT
4,17,1,False,2PT
-37,-4,3,False,2PT
-4,14,1,True,2PT
1,56,5,False,2PT
-192,168,25,False,3PT
0,0,0,True,2PT
1,4,0,False,2PT
-15,67,6,False,2PT
5,8,0,True,2PT
-243,37,24,False,3PT
-4,274,27,True,3PT
-232,44,23,True,3PT
-5,8,0,True,2PT
42,18,4,False,2PT
-10,4,1,True,2PT
13,257,25,False,3PT
4,9,0,True,2PT
10,26,2,False,2PT
5,14,1,False,2PT
-158,192,24,False,3PT
-206,126,24,True,3PT
-2,13,1,True,2PT
-36,77,8,False,2PT
228,11,22,False,3PT
229,-3,22,False,3PT
2,10,1,True,2PT
-6,12,1,True,2PT
39,11,4,True,2PT
-176,199,26,False,3PT
-227,63,23,False,3PT
-150,226,27,False,3PT
-2,28,2,True,2PT
-15,22,2,True,2PT
-12,23,2,False,2PT
-50,252,25,False,3PT
81,253,26,False,3PT
-43,21,4,True,2PT
-213,145,25,True,3PT
23,38,4,False,2PT
159,201,25,False,3PT
-32,36,4,True,2PT
12,257,25,True,3PT
-26,8,2,True,2PT
7,260,26,False,3PT
5,248,24,False,3PT
-159,194,25,False,3PT
36,5,3,False,2PT
0,5,0,True,2PT
-28,25,3,True,2PT
1,250,25,True,3PT
-5,251,25,False,3PT
-81,239,25,True,3PT
-232,16,23,False,3PT
-23,8,2,False,2PT
-232,57,23,False,3PT
-80,251,26,False,3PT
0,0,0,False,2PT
-138,207,24,False,3PT
7,13,1,False,2PT
-5,4,0,True,2PT
15,15,2,True,2PT
-240,-22,24,True,3PT
-21,10,2,False,2PT
-237,-21,23,False,3PT
23,46,5,False,2PT
-7,117,11,False,2PT
64,201,21,False,2PT
39,77,8,False,2PT
-5,17,1,True,2PT
1,3,0,False,2PT
137,213,25,False,3PT
-229,-11,22,True,3PT
43,255,25,True,3PT
-21,-8,2,True,2PT
233,-11,23,True,3PT
115,239,26,False,3PT
-11,15,1,False,2PT
229,13,22,False,3PT
21,4,2,True,2PT
33,18,3,False,2PT
5,2,0,False,2PT
-127,233,26,True,3PT
-120,222,25,False,3PT
5,4,0,True,2PT
233,21,23,False,3PT
-152,206,25,False,3PT
10,8,1,True,2PT
164,200,25,True,3PT
9,251,25,True,3PT
234,46,23,False,3PT
-2,13,1,True,2PT
4,16,1,True,2PT
-169,189,25,True,3PT
17,22,2,False,2PT
51,147,15,False,2PT
157,194,24,True,3PT
7,13,1,True,2PT
228,8,22,True,3PT
21,15,2,False,2PT
-120,222,25,False,3PT
50,37,6,False,2PT
-238,-4,23,True,3PT
235,-17,23,False,3PT
1,3,0,True,2PT
-152,215,26,True,3PT
25,248,24,False,3PT
10,5,1,False,2PT
-197,162,25,False,3PT
28,15,3,False,2PT
-158,226,27,True,3PT
-224,104,24,True,3PT
2,264,26,False,3PT
237,-13,23,False,3PT
237,-1,23,False,3PT
-230,-10,23,True,3PT
34,32,4,True,2PT
-162,194,25,False,3PT
-76,242,25,True,3PT
4,4,0,True,2PT
-140,231,27,False,3PT
229,-29,23,False,3PT
225,48,23,False,3PT
0,0,0,True,2PT
6,11,1,False,2PT
-244,41,24,True,3PT
-18,285,28,True,3PT
-16,15,2,True,2PT
54,269,27,True,3PT
-32,43,5,True,2PT
-164,256,30,False,3PT
-5,25,2,False,2PT
-246,7,24,False,3PT
238,1,23,True,3PT
65,243,25,False,3PT
40,50,6,True,2PT
18,17,2,False,2PT
-228,98,24,True,3PT
167,194,25,False,3PT
237,43,24,True,3PT
-232,80,24,False,3PT
6,15,1,False,2PT
-230,13,23,False,3PT
-20,65,6,False,2PT
6,11,1,True,2PT
-10,11,1,True,2PT
-40,81,9,False,2PT
5,2,0,True,2PT
-216,131,25,True,3PT
-115,221,24,False,3PT
-126,213,24,False,3PT
200,172,26,False,3PT
31,8,3,True,2PT
-6,-8,1,False,2PT
-131,230,26,False,3PT
92,231,24,False,3PT
-78,32,8,False,2PT
-141,208,25,True,3PT
-15,21,2,True,2PT
-115,227,25,False,3PT
240,45,24,False,3PT
-221,92,23,True,3PT
227,116,25,False,3PT
-230,21,23,True,3PT
-55,68,8,False,2PT
148,211,25,False,3PT
77,257,26,False,3PT
-116,253,27,True,3PT
-17,84,8,False,2PT
-208,197,28,True,3PT
9,20,2,True,2PT
4,16,1,True,2PT
142,221,26,False,3PT
-20,0,2,True,2PT
15,44,4,True,2PT
-162,231,28,False,3PT
4,13,1,True,2PT
6,-1,0,True,2PT
-60,250,25,True,3PT
-188,174,25,True,3PT
-10,5,1,True,2PT
163,197,25,False,3PT
146,200,24,False,3PT
-157,218,26,True,3PT
0,12,1,True,2PT
-159,190,24,True,3PT
5,13,1,False,2PT
1,18,1,False,2PT
-172,188,25,False,3PT
-152,203,25,True,3PT
-164,200,25,False,3PT
-10,250,25,False,3PT
-98,240,25,False,3PT
0,8,0,True,2PT
-55,248,25,True,3PT
-6,57,5,True,2PT
1,7,0,True,2PT
-227,64,23,False,3PT
-45,44,6,False,2PT
-152,212,26,False,3PT
-56,20,5,False,2PT
-18,1,1,False,2PT
27,31,4,False,2PT
-222,103,24,True,3PT
108,237,26,False,3PT
-100,226,24,True,3PT
153,190,24,True,3PT
10,20,2,False,2PT
-7,29,2,True,2PT
227,80,24,False,3PT
-11,-1,1,False,2PT
-44,27,5,False,2PT
82,232,24,True,3PT
196,147,24,True,3PT
88,7,8,False,2PT
-86,37,9,False,2PT
68,31,7,True,2PT
-94,243,26,False,3PT
-10,-1,1,True,2PT
114,213,24,False,3PT
7,5,0,True,2PT
25,252,25,False,3PT
81,261,27,False,3PT
47,247,25,True,3PT
-105,235,25,False,3PT
188,175,25,False,3PT
-15,44,4,True,2PT
-151,207,25,False,3PT
0,0,0,False,2PT
7,10,1,True,2PT
152,201,25,False,3PT
200,147,24,False,3PT
-140,210,25,False,3PT
161,205,26,False,3PT
-131,211,24,True,3PT
-13,6,1,True,2PT
21,6,2,True,2PT
-158,207,26,False,3PT
60,246,25,False,3PT
-39,274,27,False,3PT
-156,194,24,False,3PT
-7,-3,0,True,2PT
55,239,24,True,3PT
97,237,25,False,3PT
-132,203,24,False,3PT
163,200,25,False,3PT
-7,3,0,False,2PT
168,187,25,False,3PT
228,-10,22,True,3PT
-120,228,25,False,3PT
12,8,1,True,2PT
-235,10,23,True,3PT
27,8,2,False,2PT
