hex_center_x,hex_center_y,exact_bulls_fga,displayed,low_volume_gray,nearby_bulls_fga,nearby_bulls_fg_pct,nearby_nba_fga,nearby_nba_fg_pct,bulls_vs_nba_fg_pct_points,color_rated,color_band,size_cap_fga,radius_fraction
-55.5556,195.0000,1,False,False,35,37.1429,1911,39.8744,-2.7316,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
-55.5556,230.0000,1,False,False,279,37.2760,7253,35.5163,1.7596,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
-55.5556,265.0000,29,True,False,317,36.2776,8419,35.4436,0.8340,True,approximately average,127.0250,0.4778
-55.5556,300.0000,0,False,False,80,30.0000,2551,32.6147,-2.6147,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
-27.7778,-50.0000,0,False,False,15,46.6667,469,65.2452,-18.5785,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
-27.7778,-15.0000,6,True,False,1842,67.2638,41960,69.1873,-1.9235,True,approximately average,127.0250,0.2500
-27.7778,20.0000,167,True,False,2578,62.2964,62633,64.5219,-2.2255,True,approximately average,127.0250,1.0000
-27.7778,55.0000,49,True,False,1017,46.9027,31616,50.7370,-3.8343,True,below,127.0250,0.6211
-27.7778,90.0000,20,True,False,414,46.3768,14975,45.9699,0.4069,True,approximately average,127.0250,0.3968
-27.7778,125.0000,12,True,False,168,53.5714,9093,46.4423,7.1291,True,above,127.0250,0.3074
-27.7778,160.0000,4,True,False,83,50.6024,4868,45.0904,5.5120,True,above,127.0250,0.2500
-27.7778,195.0000,1,False,False,31,35.4839,2147,40.6614,-5.1775,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
-27.7778,230.0000,1,False,False,243,35.3909,6876,36.8383,-1.4473,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
-27.7778,265.0000,47,True,False,361,37.1191,9216,35.9158,1.2033,True,approximately average,127.0250,0.6083
-27.7778,300.0000,1,False,False,140,35.7143,3782,34.3469,1.3674,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
0.0000,-50.0000,0,False,False,45,75.5556,1232,80.3571,-4.8016,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
0.0000,-15.0000,37,True,False,2428,64.7446,55334,69.0245,-4.2798,True,below,127.0250,0.5397
0.0000,20.0000,681,True,False,3027,60.3898,75539,63.2468,-2.8570,True,below,127.0250,1.0000
0.0000,55.0000,110,True,False,1651,51.9685,45850,55.4133,-3.4448,True,below,127.0250,0.9306
0.0000,90.0000,53,True,False,522,49.2337,17751,46.1157,3.1180,True,above,127.0250,0.6459
0.0000,125.0000,21,True,False,215,53.0233,10194,46.8805,6.1427,True,above,127.0250,0.4066
0.0000,160.0000,11,True,False,83,51.8072,5213,45.8277,5.9795,True,above,127.0250,0.2943
0.0000,195.0000,3,True,False,43,37.2093,2442,42.7109,-5.5016,True,below,127.0250,0.2500
0.0000,230.0000,2,False,False,290,36.5517,7078,36.6488,-0.0970,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
0.0000,265.0000,75,True,False,374,36.0963,9424,36.0357,0.0606,True,approximately average,127.0250,0.7684
0.0000,300.0000,6,True,False,177,36.7232,4396,35.2821,1.4411,True,approximately average,127.0250,0.2500
27.7778,-50.0000,0,False,False,15,66.6667,472,67.3729,-0.7062,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
27.7778,-15.0000,7,True,False,1979,65.6897,44399,69.2786,-3.5888,True,below,127.0250,0.2500
27.7778,20.0000,203,True,False,2698,61.1564,65182,64.1650,-3.0085,True,below,127.0250,1.0000
27.7778,55.0000,58,True,False,1153,46.0538,34544,51.3924,-5.3387,True,below,127.0250,0.6757
27.7778,90.0000,24,True,False,435,48.5057,15770,45.4280,3.0777,True,above,127.0250,0.4347
27.7778,125.0000,5,True,False,174,49.4253,9321,45.9393,3.4860,True,above,127.0250,0.2500
27.7778,160.0000,4,True,False,68,44.1176,4848,45.2558,-1.1381,True,approximately average,127.0250,0.2500
27.7778,195.0000,2,False,False,28,46.4286,2112,42.1875,4.2411,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
27.7778,230.0000,0,False,False,288,37.5000,6843,35.9930,1.5070,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
27.7778,265.0000,56,True,False,369,34.4173,9189,35.1725,-0.7551,True,approximately average,127.0250,0.6640
