player_id,player_name,season,gp,fgm,fga,fg3m,pts,efg_pct,league_efg_pct,relative_efg_pp,fga_per_game,pts_per_game
202710,Jimmy Butler,2013-14,67,48,158,3.0,99,31.329113924050635,41.826373905317936,-10.497259981267302,2.3582089552238807,1.4776119402985075
1627782,Wayne Selden,2018-19,43,44,102,7.0,95,46.568627450980394,43.77332130793853,2.795306143041863,2.372093023255814,2.2093023255813953
202703,Nikola Mirotic,2017-18,25,39,85,17.0,95,55.88235294117647,43.87359587559035,12.008757065586124,3.4,3.8
2550,Kirk Hinrich,2014-15,66,43,135,8.0,94,34.81481481481482,41.804554985778644,-6.989740170963827,2.0454545454545454,1.4242424242424243
1628374,Lauri Markkanen,2017-18,68,43,129,8.0,94,36.434108527131784,43.87359587559035,-7.439487348458563,1.8970588235294117,1.3823529411764706
202703,Nikola Mirotic,2014-15,82,39,141,16.0,94,33.333333333333336,41.804554985778644,-8.471221652445308,1.7195121951219512,1.146341463414634
202696,Nikola Vučević,2023-24,76,46,100,0.0,92,46.0,46.340288329689066,-0.3402883296890664,1.3157894736842106,1.2105263157894737
1630172,Patrick Williams,2023-24,43,42,92,7.0,91,49.45652173913044,46.340288329689066,3.116233409441371,2.13953488372093,2.116279069767442
1629632,Coby White,2025-26,29,34,118,22.0,90,38.13559322033898,45.86236342111903,-7.726770200780045,4.068965517241379,3.103448275862069
201609,Goran Dragic,2022-23,51,41,116,6.0,88,37.93103448275862,46.29966991937375,-8.36863543661513,2.2745098039215685,1.7254901960784315
203490,Otto Porter Jr.,2018-19,15,39,98,9.0,87,44.38775510204081,43.77332130793853,0.6144337941022826,6.533333333333333,5.8
2736,Luol Deng,2013-14,23,41,95,3.0,85,44.73684210526316,41.826373905317936,2.910468199945221,4.130434782608695,3.6956521739130435
200765,Rajon Rondo,2016-17,69,40,141,4.0,84,29.78723404255319,43.65074776441566,-13.863513721862471,2.0434782608695654,1.2173913043478262
202703,Nikola Mirotic,2016-17,70,35,83,12.0,82,49.397590361445786,43.65074776441566,5.746842597030124,1.1857142857142857,1.1714285714285715
2399,Mike Dunleavy,2014-15,63,33,82,15.0,81,49.390243902439025,41.804554985778644,7.585688916660381,1.3015873015873016,1.2857142857142858
2430,Carlos Boozer,2013-14,76,39,145,0.0,78,26.896551724137932,41.826373905317936,-14.929822181180004,1.9078947368421053,1.0263157894736843
2200,Pau Gasol,2014-15,78,39,108,0.0,78,36.111111111111114,41.804554985778644,-5.69344387466753,1.3846153846153846,1.0
1626171,Bobby Portis Jr.,2017-18,73,38,89,2.0,78,43.82022471910113,43.87359587559035,-0.053371156489220084,1.2191780821917808,1.0684931506849316
1626166,Cameron Payne,2017-18,25,31,94,16.0,78,41.48936170212766,43.87359587559035,-2.384234173462687,3.76,3.12
1629012,Collin Sexton,2025-26,26,30,72,18.0,78,54.166666666666664,45.86236342111903,8.304303245547636,2.769230769230769,3.0
203926,Doug McDermott,2016-17,44,37,86,2.0,76,44.18604651162791,43.65074776441566,0.535298747212245,1.9545454545454546,1.7272727272727273
202696,Nikola Vučević,2024-25,73,36,77,1.0,73,47.4025974025974,45.88246943809301,1.5201279645043897,1.0547945205479452,1.0
203107,Tomas Satoransky,2020-21,58,35,72,3.0,73,50.69444444444444,45.71173913914315,4.982705305301295,1.2413793103448276,1.2586206896551724
202066,Garrett Temple,2020-21,56,32,83,9.0,73,43.975903614457835,45.71173913914315,-1.7358355246853137,1.4821428571428572,1.3035714285714286
1630200,Tre Jones,2025-26,65,30,66,13.0,73,55.303030303030305,45.86236342111903,9.440666881911277,1.0153846153846153,1.123076923076923
