season,target_id,target_name,target_created,opponent_id,opponent_name,minimum_created,maximum_created,remaining_ast,relation
1996-97,893,Michael Jordan,3222,1023,Emanual Davis,119,136,17,not_above
1996-97,893,Michael Jordan,3222,941,Ennis Whatley,11,12,1,not_above
1996-97,893,Michael Jordan,3222,287,Eric Leckner,44,49,5,not_above
1996-97,893,Michael Jordan,3222,211,Eric Mobley,102,112,10,not_above
1996-97,893,Michael Jordan,3222,376,Eric Montross,471,514,43,not_above
1996-97,893,Michael Jordan,3222,785,Eric Murdock,98,108,13,not_above
1996-97,893,Michael Jordan,3222,15,Eric Piatkowski,493,537,45,not_above
1996-97,893,Michael Jordan,3222,727,Eric Snow,539,609,81,not_above
1996-97,893,Michael Jordan,3222,677,Eric Williams,1350,1425,82,not_above
1996-97,893,Michael Jordan,3222,956,Erick Dampier,461,495,35,not_above
1996-97,893,Michael Jordan,3222,1065,Erick Strickland,433,479,63,not_above
1996-97,893,Michael Jordan,3222,911,Ervin Johnson,736,776,40,not_above
1996-97,893,Michael Jordan,3222,1026,Evric Gray,17,19,2,not_above
1996-97,893,Michael Jordan,3222,280,Felton Spencer,419,436,17,not_above
1996-97,893,Michael Jordan,3222,783,Frank Brickowski,112,118,6,not_above
1996-97,893,Michael Jordan,3222,701,Frankie King,30,34,4,not_above
1996-97,893,Michael Jordan,3222,697,Fred Hoiberg,308,333,25,not_above
1996-97,893,Michael Jordan,3222,122,Fred Roberts,22,22,0,not_above
1996-97,893,Michael Jordan,3222,202,Gary Grant,212,215,3,not_above
1996-97,893,Michael Jordan,3222,56,Gary Payton,3038,3221,243,not_above
1996-97,893,Michael Jordan,3222,718,Gary Trent,1066,1113,47,not_above
1996-97,893,Michael Jordan,3222,1093,Gaylon Nickerson,17,18,1,not_above
1996-97,893,Michael Jordan,3222,248,George Lynch,497,561,64,not_above
1996-97,893,Michael Jordan,3222,45,George McCloud,878,949,77,not_above
1996-97,893,Michael Jordan,3222,678,George Zidek,172,181,9,not_above
1996-97,893,Michael Jordan,3222,786,Gerald Wilkins,1205,1329,130,not_above
1996-97,893,Michael Jordan,3222,49,Gheorghe Muresan,838,851,14,not_above
1996-97,893,Michael Jordan,3222,779,Glen Rice,2441,2560,125,not_above
1996-97,893,Michael Jordan,3222,299,Glenn Robinson,2192,2321,187,not_above
1996-97,893,Michael Jordan,3222,255,Grant Hill,3056,3220,177,not_above
1996-97,893,Michael Jordan,3222,3,Grant Long,415,429,14,not_above
1996-97,893,Michael Jordan,3222,246,Greg Anderson,390,414,27,not_above
1996-97,893,Michael Jordan,3222,21,Greg Anthony,1440,1609,316,not_above
1996-97,893,Michael Jordan,3222,1068,Greg Dreiling,102,112,10,not_above
1996-97,893,Michael Jordan,3222,323,Greg Foster,343,359,16,not_above
1996-97,893,Michael Jordan,3222,37,Greg Graham,118,124,6,not_above
1996-97,893,Michael Jordan,3222,65,Greg Minor,291,312,22,not_above
1996-97,893,Michael Jordan,3222,731,Greg Ostertag,619,633,14,not_above
1996-97,893,Michael Jordan,3222,165,Hakeem Olajuwon,2298,2492,198,not_above
1996-97,893,Michael Jordan,3222,265,Harvey Grant,460,499,40,not_above
1996-97,893,Michael Jordan,3222,906,Haywoode Workman,45,51,8,not_above
1996-97,893,Michael Jordan,3222,1080,Henry James,398,417,19,not_above
1996-97,893,Michael Jordan,3222,1006,Herb Williams,49,54,5,not_above
1996-97,893,Michael Jordan,3222,765,Hersey Hawkins,1662,1793,146,not_above
1996-97,893,Michael Jordan,3222,270,Horace Grant,1186,1308,124,not_above
1996-97,893,Michael Jordan,3222,1024,Horacio Llamas,42,45,3,not_above
1996-97,893,Michael Jordan,3222,73,Hot Rod Williams,745,820,75,not_above
1996-97,893,Michael Jordan,3222,458,Howard Eisley,771,874,138,not_above
1996-97,893,Michael Jordan,3222,93,Hubert Davis,260,261,1,not_above
1996-97,893,Michael Jordan,3222,1134,Ike Austin,1034,1038,4,not_above
1996-97,893,Michael Jordan,3222,375,Isaiah Rider,1634,1734,116,not_above
1996-97,893,Michael Jordan,3222,1096,Ivano Newbill,151,170,19,not_above
1996-97,893,Michael Jordan,3222,917,Jack Haley,51,54,3,not_above
1996-97,893,Michael Jordan,3222,147,Jalen Rose,798,893,121,not_above
1996-97,893,Michael Jordan,3222,469,Jamal Mashburn,1277,1342,78,not_above
1996-97,893,Michael Jordan,3222,381,James Robinson,828,903,114,not_above
1996-97,893,Michael Jordan,3222,1109,James Scott,7,7,0,not_above
1996-97,893,Michael Jordan,3222,994,Jamie Feick,203,224,22,not_above
1996-97,893,Michael Jordan,3222,320,Jamie Watson,146,168,27,not_above
1996-97,893,Michael Jordan,3222,1114,Jaren Jackson,509,549,43,not_above
1996-97,893,Michael Jordan,3222,679,Jason Caffey,749,749,0,not_above
1996-97,893,Michael Jordan,3222,467,Jason Kidd,1619,1859,396,not_above
1996-97,893,Michael Jordan,3222,987,Jason Sasser,23,24,2,not_above
1996-97,893,Michael Jordan,3222,420,Jayson Williams,658,692,34,not_above
1996-97,893,Michael Jordan,3222,81,Jeff Grayer,141,162,21,not_above
1996-97,893,Michael Jordan,3222,204,Jeff Hornacek,1923,2064,237,not_above
1996-97,893,Michael Jordan,3222,976,Jeff McInnis,104,112,11,not_above
1996-97,893,Michael Jordan,3222,979,Jermaine O'Neal,201,205,4,not_above
1996-97,893,Michael Jordan,3222,706,Jerome Allen,537,664,128,not_above
1996-97,893,Michael Jordan,3222,760,Jerome Kersey,677,680,3,not_above
1996-97,893,Michael Jordan,3222,966,Jerome Williams,64,67,3,not_above
1996-97,893,Michael Jordan,3222,711,Jerry Stackhouse,2200,2319,169,not_above
1996-97,893,Michael Jordan,3222,754,Jim Jackson,1870,2050,248,not_above
1996-97,893,Michael Jordan,3222,29,Jim McIlvaine,363,375,12,not_above
1996-97,893,Michael Jordan,3222,1131,Jimmy Carruth,5,5,0,not_above
1996-97,893,Michael Jordan,3222,728,Jimmy King,11,12,1,not_above
1996-97,893,Michael Jordan,3222,1429,Jimmy Oliver,13,13,0,not_above
1996-97,893,Michael Jordan,3222,1432,Joe Courtney,25,25,0,not_above
1996-97,893,Michael Jordan,3222,247,Joe Dumars,1827,1955,158,not_above
1996-97,893,Michael Jordan,3222,170,Joe Kleine,241,268,27,not_above
1996-97,893,Michael Jordan,3222,693,Joe Smith,1744,1847,105,not_above
1996-97,893,Michael Jordan,3222,1086,Joe Stephens,3,3,0,not_above
1996-97,893,Michael Jordan,3222,341,Joe Wolf,137,150,13,not_above
1996-97,893,Michael Jordan,3222,180,John Crotty,472,480,8,not_above
1996-97,893,Michael Jordan,3222,1381,John Long,172,178,6,not_above
1996-97,893,Michael Jordan,3222,317,John Starks,1503,1623,167,not_above
1996-97,893,Michael Jordan,3222,304,John Stockton,2934,3096,487,not_above
1996-97,893,Michael Jordan,3222,961,John Wallace,399,432,33,not_above
1996-97,893,Michael Jordan,3222,271,Johnny Newman,949,1018,82,not_above
1996-97,893,Michael Jordan,3222,468,Jon Barry,524,610,86,not_above
1996-97,893,Michael Jordan,3222,146,Jud Buechler,274,274,0,not_above
1996-97,893,Michael Jordan,3222,436,Juwan Howard,2206,2357,198,not_above
1996-97,893,Michael Jordan,3222,252,Karl Malone,3005,3167,210,not_above
1996-97,893,Michael Jordan,3222,173,Keith Askins,550,554,5,not_above
1996-97,893,Michael Jordan,3222,700,Keith Tower,9,10,1,not_above
1996-97,893,Michael Jordan,3222,80,Ken Norman,88,94,6,not_above
1996-97,893,Michael Jordan,3222,383,Kendall Gill,2456,2655,252,not_above
1996-97,893,Michael Jordan,3222,72,Kenny Anderson,2681,2847,249,not_above
1996-97,893,Michael Jordan,3222,181,Kenny Smith,536,616,90,not_above
1996-97,893,Michael Jordan,3222,954,Kerry Kittles,1857,1996,183,not_above
1996-97,893,Michael Jordan,3222,404,Kevin Duckworth,136,147,12,not_above
1996-97,893,Michael Jordan,3222,236,Kevin Edwards,306,344,38,not_above
1996-97,893,Michael Jordan,3222,333,Kevin Gamble,465,521,68,not_above
1996-97,893,Michael Jordan,3222,708,Kevin Garnett,1791,1942,193,not_above
1996-97,893,Michael Jordan,3222,134,Kevin Johnson,2750,3001,455,not_above
1996-97,893,Michael Jordan,3222,1089,Kevin Salvadori,57,66,9,not_above
1996-97,893,Michael Jordan,3222,788,Kevin Willis,992,1049,58,not_above
1996-97,893,Michael Jordan,3222,234,Khalid Reeves,980,1114,183,not_above
1996-97,893,Michael Jordan,3222,977,Kobe Bryant,732,743,11,not_above
1996-97,893,Michael Jordan,3222,703,Kurt Thomas,133,134,1,not_above
1996-97,893,Michael Jordan,3222,111,LaPhonso Ellis,1479,1564,85,not_above
1996-97,893,Michael Jordan,3222,78,LaSalle Thompson,15,16,1,not_above
1996-97,893,Michael Jordan,3222,441,Lamond Murray,663,708,48,not_above
1996-97,893,Michael Jordan,3222,913,Larry Johnson,1335,1469,140,not_above
1996-97,893,Michael Jordan,3222,1474,Larry Krystkowiak,9,9,0,not_above
1996-97,893,Michael Jordan,3222,1125,Larry Stewart,412,439,27,not_above
1996-97,893,Michael Jordan,3222,84,Latrell Sprewell,2974,3209,381,not_above
1996-97,893,Michael Jordan,3222,734,Lawrence Moten,707,797,106,not_above
1996-97,893,Michael Jordan,3222,195,Lee Mayberry,1081,1263,287,not_above
1996-97,893,Michael Jordan,3222,283,Lindsey Hunter,1493,1562,77,not_above
1996-97,893,Michael Jordan,3222,1489,Lionel Simmons,258,292,40,not_above
1996-97,893,Michael Jordan,3222,1036,Litterial Green,178,197,19,not_above
1996-97,893,Michael Jordan,3222,1380,Lloyd Daniels,152,167,15,not_above
1996-97,893,Michael Jordan,3222,684,Loren Meyer,306,318,12,not_above
1996-97,893,Michael Jordan,3222,953,Lorenzen Wright,660,703,43,not_above
1996-97,893,Michael Jordan,3222,31,Lorenzo Williams,53,55,2,not_above
1996-97,893,Michael Jordan,3222,691,Lou Roe,53,55,2,not_above
1996-97,893,Michael Jordan,3222,919,Loy Vaught,1450,1539,90,not_above
1996-97,893,Michael Jordan,3222,26,Luc Longley,845,845,0,not_above
1996-97,893,Michael Jordan,3222,446,Lucious Harris,395,423,37,not_above
1996-97,893,Michael Jordan,3222,51,Mahmoud Abdul-Rauf,1413,1539,156,not_above
1996-97,893,Michael Jordan,3222,990,Malik Rose,227,252,25,not_above
1996-97,893,Michael Jordan,3222,907,Malik Sealy,1414,1547,136,not_above
1996-97,893,Michael Jordan,3222,992,Marcus Brown,123,134,11,not_above
1996-97,893,Michael Jordan,3222,948,Marcus Camby,1149,1160,11,not_above
