PLAYER_ID,PLAYER_NAME,PTS,AST,known_ast,known_assist_points,remaining_ast,minimum_created,maximum_created
103,Todd Day,1176,117,43,90,74,1414,1475
957,Todd Fuller,300,24,7,17,17,351,368
1472,Tom Chambers,19,4,3,6,1,27,28
339,Tom Gugliotta,1672,335,56,119,279,2349,2552
67,Tom Hammonds,506,64,24,61,40,647,687
389,Toni Kukoc,754,256,256,552,0,1306,1306
960,Tony Delk,332,99,18,39,81,533,610
434,Tony Dumas,86,25,9,19,16,137,151
763,Tony Massenburg,568,23,7,16,16,616,632
380,Tony Smith,346,150,39,86,111,654,758
929,Tracy Moore,99,20,8,18,12,141,153
145,Tracy Murray,817,78,35,77,43,980,1015
696,Travis Best,754,318,78,176,240,1410,1586
969,Travis Knight,342,39,37,84,2,430,432
895,Tyrone Corbin,666,124,39,95,85,931,1015
238,Tyrone Hill,955,92,52,125,40,1160,1200
721,Tyus Edney,485,226,36,77,190,942,1094
137,Vernon Maxwell,929,153,18,37,135,1236,1340
452,Vin Baker,1637,211,60,133,151,2072,2200
355,Vincent Askew,239,90,13,30,77,423,493
219,Vinny Del Negro,886,231,31,67,200,1353,1502
958,Vitaly Potapenko,465,40,26,66,14,559,571
124,Vlade Divac,1024,301,65,151,236,1647,1868
702,Voshon Lenard,897,161,154,348,7,1259,1266
1005,Walt Williams,1199,197,185,399,12,1622,1634
962,Walter McCarty,64,13,2,4,11,90,101
47,Wayman Tisdale,346,20,9,21,11,389,400
445,Wesley Person,1080,123,48,108,75,1338,1401
781,Will Perdue,565,38,7,14,31,641,672
335,Willie Anderson,83,34,30,67,4,158,162
416,Willie Burton,148,11,3,8,8,172,180
1365,Xavier McDaniel,346,65,13,30,52,480,531
212,Yinka Dare,57,3,1,3,2,64,66
440,Zan Tabak,84,14,10,22,4,114,118
