SEASON,TEAM_ID,TEAM_NAME,GP,FGA,FGM,shot_fga,shot_fgm,shot_gp,fga_delta,fgm_delta,gp_delta
2019-20,1610612742,Dallas Mavericks,75,6772,3124,6772,3124,75,0,0,0
2019-20,1610612743,Denver Nuggets,73,6488,3069,6488,3069,73,0,0,0
2019-20,1610612744,Golden State Warriors,65,5730,2510,5730,2510,65,0,0,0
2019-20,1610612745,Houston Rockets,72,6512,2936,6512,2936,72,0,0,0
2019-20,1610612746,LA Clippers,72,6425,2992,6425,2992,72,0,0,0
2019-20,1610612747,Los Angeles Lakers,71,6269,3006,6269,3006,71,0,0,0
2019-20,1610612748,Miami Heat,73,6160,2880,6160,2880,73,0,0,0
2019-20,1610612749,Milwaukee Bucks,73,6638,3160,6638,3160,73,0,0,0
2019-20,1610612750,Minnesota Timberwolves,64,5865,2586,5865,2586,64,0,0,0
2019-20,1610612751,Brooklyn Nets,72,6498,2908,6498,2908,72,0,0,0
2019-20,1610612752,New York Knicks,66,5896,2638,5896,2638,66,0,0,0
2019-20,1610612753,Orlando Magic,73,6468,2871,6468,2871,73,0,0,0
2019-20,1610612754,Indiana Pacers,73,6457,3075,6457,3075,73,0,0,0
2019-20,1610612755,Philadelphia 76ers,73,6417,3000,6417,3000,73,0,0,0
2019-20,1610612756,Phoenix Suns,73,6429,3006,6429,3006,73,0,0,0
2019-20,1610612757,Portland Trail Blazers,74,6749,3122,6749,3122,74,0,0,0
2019-20,1610612758,Sacramento Kings,72,6364,2943,6364,2943,72,0,0,0
2019-20,1610612759,San Antonio Spurs,71,6350,2995,6350,2995,71,0,0,0
2019-20,1610612760,Oklahoma City Thunder,72,6156,2879,6156,2879,72,0,0,0
2019-20,1610612761,Toronto Raptors,72,6331,2897,6331,2897,72,0,0,0
2019-20,1610612762,Utah Jazz,72,6130,2886,6130,2886,72,0,0,0
2019-20,1610612763,Memphis Grizzlies,73,6634,3106,6634,3106,73,0,0,0
2019-20,1610612764,Washington Wizards,72,6544,2990,6544,2990,72,0,0,0
2019-20,1610612765,Detroit Pistons,66,5658,2595,5658,2595,66,0,0,0
2019-20,1610612766,Charlotte Hornets,65,5586,2425,5586,2425,65,0,0,0
