EntityId,Name,Points,AssistPoints,created,rank
203502,Tony Mitchell,22.0,5.0,27.0,440
1536,Stephen Jackson,15.0,12.0,27.0,440
203467,Carrick Felix,19.0,8.0,27.0,440
203120,Justin Hamilton,26.0,0.0,26.0,443
203495,Ricky Ledo,19.0,5.0,24.0,444
203139,Viacheslav Kravtsov,20.0,3.0,23.0,445
101183,Shavlik Randolph,20.0,2.0,22.0,446
203136,Ognjen Kuzmic,15.0,6.0,21.0,447
202952,Malcolm Thomas,15.0,5.0,20.0,448
203519,Adonis Thomas,14.0,6.0,20.0,448
2586,Keith Bogans,12.0,7.0,19.0,450
200780,Solomon Jones,14.0,4.0,18.0,451
203496,Robert Covington,16.0,0.0,16.0,452
203480,James Southerland,14.0,0.0,14.0,453
202380,Hamady Ndiaye,6.0,7.0,13.0,454
202130,Reggie Williams,11.0,2.0,13.0,454
202498,Lance Thomas,6.0,7.0,13.0,454
202345,Damion James,6.0,6.0,12.0,457
201785,Othyus Jeffers,9.0,2.0,11.0,458
201203,Mustafa Shakur,1.0,10.0,11.0,458
203513,Erik Murphy,6.0,4.0,10.0,460
101155,Ryan Gomes,6.0,3.0,9.0,461
202620,Arinze Onuaku,3.0,6.0,9.0,461
203146,Maalik Wayns,2.0,6.0,8.0,463
203183,Tony Mitchell,6.0,2.0,8.0,463
203505,Vander Blue,5.0,2.0,7.0,465
203474,DJ Stephens,7.0,0.0,7.0,465
2408,Melvin Ely,6.0,0.0,6.0,467
2756,Sasha Vujacic,5.0,0.0,5.0,468
2735,Josh Childress,0.0,4.0,4.0,469
2694,Josh Powell,4.0,0.0,4.0,469
2740,Andris Biedrins,3.0,0.0,3.0,471
203816,Scotty Hopson,1.0,2.0,3.0,471
203552,Seth Curry,3.0,0.0,3.0,471
202732,DeAndre Liggins,2.0,0.0,2.0,474
203548,Elias Harris,0.0,2.0,2.0,474
202197,Shane Edwards,2.0,0.0,2.0,474
203130,Darius Johnson-Odom,0.0,2.0,2.0,474
203091,Royce White,0.0,0.0,0.0,478
2767,Royal Ivey,0.0,0.0,0.0,478
202354,Dexter Pittman,0.0,0.0,0.0,478
201591,DJ White,0.0,0.0,0.0,478
203147,Chris Smith,0.0,0.0,0.0,478
