PLAYER_ID,PLAYER_NAME,PTS,Points,AST,Assists,point_diff,ast_diff,_merge
101112,Channing Frye,425,425.0,71,71.0,0.0,0.0,both
101114,Deron Williams,918,918.0,378,378.0,0.0,0.0,both
101123,Gerald Green,616,616.0,56,56.0,0.0,0.0,both
101126,Nate Robinson,0,,4,4.0,0.0,0.0,both
101127,Jarrett Jack,411,411.0,236,236.0,0.0,0.0,both
101133,Ian Mahinmi,660,660.0,104,104.0,0.0,0.0,both
101135,David Lee,427,427.0,84,84.0,0.0,0.0,both
101138,Brandon Bass,473,473.0,74,74.0,0.0,0.0,both
101139,CJ Miles,753,753.0,63,63.0,0.0,0.0,both
101141,Ersan Ilyasova,767,767.0,67,67.0,0.0,0.0,both
101145,Monta Ellis,1121,1121.0,383,383.0,0.0,0.0,both
101150,Lou Williams,1028,1028.0,167,167.0,0.0,0.0,both
101161,Amir Johnson,577,577.0,138,138.0,0.0,0.0,both
101162,Marcin Gortat,1012,1012.0,106,106.0,0.0,0.0,both
101179,Ronnie Price,331,331.0,147,147.0,0.0,0.0,both
101181,Jose Calderon,544,544.0,298,298.0,0.0,0.0,both
101187,Alan Anderson,65,65.0,14,14.0,0.0,0.0,both
101236,Chuck Hayes,4,4.0,2,2.0,0.0,0.0,both
200745,Andrea Bargnani,304,304.0,18,18.0,0.0,0.0,both
200746,LaMarcus Aldridge,1331,1331.0,110,110.0,0.0,0.0,both
200751,Randy Foye,474,474.0,161,161.0,0.0,0.0,both
200752,Rudy Gay,1204,1204.0,120,120.0,0.0,0.0,both
200755,JJ Redick,1226,1226.0,106,106.0,0.0,0.0,both
200757,Thabo Sefolosha,480,480.0,107,107.0,0.0,0.0,both
200765,Rajon Rondo,859,859.0,839,839.0,0.0,0.0,both
200768,Kyle Lowry,1634,1634.0,494,494.0,0.0,0.0,both
200770,Jordan Farmar,110,110.0,37,37.0,0.0,0.0,both
200779,Steve Novak,24,24.0,0,,0.0,0.0,both
200782,P.J. Tucker,652,652.0,177,177.0,0.0,0.0,both
200794,Paul Millsap,1385,1385.0,265,265.0,0.0,0.0,both
200797,Ryan Hollins,124,124.0,10,10.0,0.0,0.0,both
200811,Lou Amundson,52,52.0,12,12.0,0.0,0.0,both
200826,J.J. Barea,808,808.0,302,302.0,0.0,0.0,both
201142,Kevin Durant,2029,2029.0,361,361.0,0.0,0.0,both
201143,Al Horford,1249,1249.0,263,263.0,0.0,0.0,both
201144,Mike Conley,857,857.0,342,342.0,0.0,0.0,both
201145,Jeff Green,939,939.0,138,138.0,0.0,0.0,both
201147,Corey Brewer,590,590.0,109,109.0,0.0,0.0,both
201148,Brandan Wright,83,83.0,6,6.0,0.0,0.0,both
201149,Joakim Noah,124,124.0,110,110.0,0.0,0.0,both
201150,Spencer Hawes,340,340.0,109,109.0,0.0,0.0,both
201152,Thaddeus Young,1102,1102.0,136,136.0,0.0,0.0,both
