player_id,player_name,season,gp,fgm,fga,pts,efg_pct,league_efg_pct,relative_efg_pp,fga_per_game,pts_per_game,league_fga_per_game,relative_fga_per_game,league_pts_per_game,relative_pts_per_game,fg3m,fg3a_low,fg3a_high,raw_fg3a_missing,official_3pa_excess,fg3a,league_3p_pct_low,league_3p_pct_high,relative_3p_pp_high,league_3pa_per_game_high,relative_3pa_per_game_low
1626245,Cristiano Felicio,2015-16,31,0,3.0,0,0.0,37.044749767989316,-37.044749767989316,0.0967741935483871,0.0,1.6941099777590305,-1.5973357842106435,1.882736406166117,-1.882736406166117,0,3.0,3.0,False,0.0,3.0,37.044749767989316,37.044749767989316,-37.044749767989316,1.6941099777590305,-1.5973357842106435
201565,Derrick Rose,2015-16,66,35,104.0,105,33.65384615384615,37.044749767989316,-3.3909036141431628,1.5757575757575757,1.5909090909090908,1.6941099777590305,-0.1183524020014548,1.882736406166117,-0.2918273152570261,35,104.0,104.0,False,0.0,104.0,37.044749767989316,37.044749767989316,-3.3909036141431628,1.6941099777590305,-0.1183524020014548
203926,Doug McDermott,2015-16,81,104,243.0,312,42.79835390946502,37.044749767989316,5.753604141475705,3.0,3.8518518518518516,1.6941099777590305,1.3058900222409695,1.882736406166117,1.9691154456857347,104,243.0,243.0,False,0.0,243.0,37.044749767989316,37.044749767989316,5.753604141475705,1.6941099777590305,1.3058900222409695
202734,E'Twaun Moore,2015-16,59,40,88.0,120,45.45454545454545,37.044749767989316,8.409795686556137,1.4915254237288136,2.0338983050847457,1.6941099777590305,-0.2025845540302169,1.882736406166117,0.15116189891862875,40,88.0,88.0,False,0.0,88.0,37.044749767989316,37.044749767989316,8.409795686556137,1.6941099777590305,-0.2025845540302169
202710,Jimmy Butler,2015-16,67,40,130.0,120,30.76923076923077,37.044749767989316,-6.275518998758546,1.9402985074626866,1.791044776119403,1.6941099777590305,0.24618852970365612,1.882736406166117,-0.09169163004671388,40,130.0,130.0,False,0.0,130.0,37.044749767989316,37.044749767989316,-6.275518998758546,1.6941099777590305,0.24618852970365612
201149,Joakim Noah,2015-16,29,0,0.0,0,,37.044749767989316,,0.0,0.0,1.6941099777590305,-1.6941099777590305,1.882736406166117,-1.882736406166117,0,0.0,0.0,False,0.0,0.0,37.044749767989316,37.044749767989316,,1.6941099777590305,-1.6941099777590305
203200,Justin Holiday,2015-16,27,24,45.0,72,53.333333333333336,37.044749767989316,16.28858356534402,1.6666666666666667,2.6666666666666665,1.6941099777590305,-0.027443311092363754,1.882736406166117,0.7839302605005496,24,45.0,45.0,False,0.0,45.0,37.044749767989316,37.044749767989316,16.28858356534402,1.6941099777590305,-0.027443311092363754
2550,Kirk Hinrich,2015-16,35,13,35.0,39,37.142857142857146,37.044749767989316,0.09810737486782983,1.0,1.1142857142857143,1.6941099777590305,-0.6941099777590305,1.882736406166117,-0.7684506918804026,13,35.0,35.0,False,0.0,35.0,37.044749767989316,37.044749767989316,0.09810737486782983,1.6941099777590305,-0.6941099777590305
2399,Mike Dunleavy,2015-16,31,36,86.0,108,41.86046511627907,37.044749767989316,4.815715348289757,2.774193548387097,3.4838709677419355,1.6941099777590305,1.0800835706280665,1.882736406166117,1.6011345615758186,36,86.0,86.0,False,0.0,86.0,37.044749767989316,37.044749767989316,4.815715348289757,1.6941099777590305,1.0800835706280665
202703,Nikola Mirotic,2015-16,66,130,309.0,390,42.07119741100323,37.044749767989316,5.026447643013917,4.681818181818182,5.909090909090909,1.6941099777590305,2.9877082040591514,1.882736406166117,4.026354502924792,130,309.0,309.0,False,0.0,309.0,37.044749767989316,37.044749767989316,5.026447643013917,1.6941099777590305,2.9877082040591514
