player_id,player_name,season,gp,fgm,fga,fg3m,fg3a,pts,efg_pct,league_efg_pct,relative_efg_pp,fga_per_game,pts_per_game,league_fga_per_game,relative_fga_per_game,league_pts_per_game,relative_pts_per_game
1628976,Wendell Carter Jr.,2018-19,44,40,97,6,26.0,86,44.329896907216494,53.48029869717191,-9.150401789955417,2.2045454545454546,1.9545454545454546,2.4114018619976245,-0.20685640745216993,2.5792498371709898,-0.6247043826255352
203897,Zach LaVine,2018-19,63,48,125,41,110.0,137,54.8,53.48029869717191,1.3197013028280864,1.9841269841269842,2.1746031746031744,2.4114018619976245,-0.42727487787064033,2.5792498371709898,-0.40464666256781534
1629690,Adam Mokoka,2019-20,11,6,16,6,15.0,18,56.25,54.491938712377625,1.7580612876223753,1.4545454545454546,1.6363636363636365,2.454070468449962,-0.9995250139045075,2.6745411512526234,-1.038177514888987
1628990,Chandler Hutchison,2019-20,28,12,37,12,37.0,36,48.648648648648646,54.491938712377625,-5.843290063728979,1.3214285714285714,1.2857142857142858,2.454070468449962,-1.1326418970213907,2.6745411512526234,-1.3888268655383376
1629632,Coby White,2019-20,65,94,254,90,243.0,278,54.724409448818896,54.491938712377625,0.2324707364412717,3.9076923076923076,4.276923076923077,2.454070468449962,1.4536218392423454,2.6745411512526234,1.6023819256704535
1626245,Cristiano Felicio,2019-20,22,1,5,0,2.0,2,20.0,54.491938712377625,-34.491938712377625,0.22727272727272727,0.09090909090909091,2.454070468449962,-2.226797741177235,2.6745411512526234,-2.5836320603435325
1629655,Daniel Gafford,2019-20,43,0,1,0,,0,0.0,54.491938712377625,-54.491938712377625,0.023255813953488372,0.0,2.454070468449962,-2.4308146544964737,2.6745411512526234,-2.6745411512526234
1627756,Denzel Valentine,2019-20,36,31,85,30,84.0,92,54.11764705882353,54.491938712377625,-0.37429165355409566,2.361111111111111,2.5555555555555554,2.454070468449962,-0.09295935733885097,2.6745411512526234,-0.11898559569706801
1627739,Kris Dunn,2019-20,51,26,96,25,95.0,77,40.104166666666664,54.491938712377625,-14.38777204571096,1.8823529411764706,1.5098039215686274,2.454070468449962,-0.5717175272734916,2.6745411512526234,-1.164737229683996
1628374,Lauri Markkanen,2019-20,50,106,306,104,302.0,316,51.63398692810458,54.491938712377625,-2.857951784273048,6.12,6.32,2.454070468449962,3.665929531550038,2.6745411512526234,3.645458848747377
1628436,Luke Kornet,2019-20,36,32,105,31,102.0,95,45.23809523809524,54.491938712377625,-9.253843474282384,2.9166666666666665,2.638888888888889,2.454070468449962,0.4625961982167044,2.6745411512526234,-0.03565226236373453
1629622,Max Strus,2019-20,2,0,1,0,1.0,0,0.0,54.491938712377625,-54.491938712377625,0.5,0.0,2.454070468449962,-1.9540704684499621,2.6745411512526234,-2.6745411512526234
203490,Otto Porter Jr.,2019-20,14,21,53,19,45.0,61,57.54716981132076,54.491938712377625,3.055231098943132,3.7857142857142856,4.357142857142857,2.454070468449962,1.3316438172643235,2.6745411512526234,1.6826017058902334
1627853,Ryan Arcidiacono,2019-20,58,42,109,42,108.0,126,57.79816513761468,54.491938712377625,3.306226425237057,1.8793103448275863,2.1724137931034484,2.454070468449962,-0.5747601236223758,2.6745411512526234,-0.502127358149175
1627885,Shaquille Harrison,2019-20,43,13,33,13,33.0,39,59.09090909090909,54.491938712377625,4.598970378531469,0.7674418604651163,0.9069767441860465,2.454070468449962,-1.6866286079848458,2.6745411512526234,-1.767564407066577
201152,Thaddeus Young,2019-20,64,75,202,74,199.0,224,55.445544554455445,54.491938712377625,0.9536058420778204,3.15625,3.5,2.454070468449962,0.7021795315500379,2.6745411512526234,0.8254588487473766
203107,Tomas Satoransky,2019-20,65,57,172,55,167.0,169,49.127906976744185,54.491938712377625,-5.364031735633439,2.646153846153846,2.6,2.454070468449962,0.19208337770388395,2.6745411512526234,-0.07454115125262328
1628976,Wendell Carter Jr.,2019-20,43,21,61,6,26.0,48,39.34426229508197,54.491938712377625,-15.147676417295656,1.4186046511627908,1.1162790697674418,2.454070468449962,-1.0354658172871714,2.6745411512526234,-1.5582620814851815
203897,Zach LaVine,2019-20,60,74,177,72,169.0,220,62.14689265536723,54.491938712377625,7.654953942989607,2.95,3.6666666666666665,2.454070468449962,0.49592953155003805,2.6745411512526234,0.9921255154140431
1629690,Adam Mokoka,2020-21,14,1,8,1,8.0,3,18.75,55.74744693457879,-36.99744693457879,0.5714285714285714,0.21428571428571427,2.4890257655938233,-1.9175971941652519,2.77513663572482,-2.5608509214391058
202329,Al-Farouq Aminu,2020-21,6,1,5,1,5.0,3,30.0,55.74744693457879,-25.74744693457879,0.8333333333333334,0.5,2.4890257655938233,-1.6556924322604898,2.77513663572482,-2.27513663572482
1628990,Chandler Hutchison,2020-21,7,1,2,1,2.0,3,75.0,55.74744693457879,19.25255306542121,0.2857142857142857,0.42857142857142855,2.4890257655938233,-2.2033114798795377,2.77513663572482,-2.346565207153392
1629632,Coby White,2020-21,69,124,339,121,333.0,369,54.424778761061944,55.74744693457879,-1.3226681735168455,4.913043478260869,5.3478260869565215,2.4890257655938233,2.424017712667046,2.77513663572482,2.5726894512317013
1626245,Cristiano Felicio,2020-21,18,0,2,0,1.0,0,0.0,55.74744693457879,-55.74744693457879,0.1111111111111111,0.0,2.4890257655938233,-2.377914654482712,2.77513663572482,-2.77513663572482
1629655,Daniel Gafford,2020-21,31,2,5,0,,4,40.0,55.74744693457879,-15.74744693457879,0.16129032258064516,0.12903225806451613,2.4890257655938233,-2.3277354430131783,2.77513663572482,-2.646104377660304
1628464,Daniel Theis,2020-21,23,26,79,15,50.0,67,42.40506329113924,55.74744693457879,-13.342383643439547,3.4347826086956523,2.9130434782608696,2.4890257655938233,0.9457568431018291,2.77513663572482,0.13790684253604946
1627756,Denzel Valentine,2020-21,62,67,194,64,187.0,198,51.03092783505155,55.74744693457879,-4.71651909952724,3.129032258064516,3.193548387096774,2.4890257655938233,0.6400064924706927,2.77513663572482,0.41841175137195386
1629653,Devon Dotson,2020-21,11,1,3,1,3.0,3,50.0,55.74744693457879,-5.7474469345787895,0.2727272727272727,0.2727272727272727,2.4890257655938233,-2.2162984928665503,2.77513663572482,-2.5024093629975477
202066,Garrett Temple,2020-21,56,58,178,57,169.0,173,48.59550561797753,55.74744693457879,-7.15194131660126,3.1785714285714284,3.0892857142857144,2.4890257655938233,0.6895456629776051,2.77513663572482,0.31414907856089425
1629750,Javonte Green,2020-21,16,3,8,3,8.0,9,56.25,55.74744693457879,0.5025530654212105,0.5,0.5625,2.4890257655938233,-1.9890257655938233,2.77513663572482,-2.21263663572482
1628374,Lauri Markkanen,2020-21,51,119,296,118,291.0,356,60.13513513513514,55.74744693457879,4.387688200556347,5.803921568627451,6.980392156862745,2.4890257655938233,3.3148958030336275,2.77513663572482,4.205255521137925
1628436,Luke Kornet,2020-21,13,6,23,6,23.0,18,39.130434782608695,55.74744693457879,-16.617012151970094,1.7692307692307692,1.3846153846153846,2.4890257655938233,-0.7197949963630541,2.77513663572482,-1.3905212511094356
202696,Nikola Vučević,2020-21,26,88,221,58,151.0,234,52.94117647058823,55.74744693457879,-2.8062704639905576,8.5,9.0,2.4890257655938233,6.010974234406177,2.77513663572482,6.22486336427518
203490,Otto Porter Jr.,2020-21,25,40,99,38,88.0,118,59.5959595959596,55.74744693457879,3.848512661380809,3.96,4.72,2.4890257655938233,1.4709742344061767,2.77513663572482,1.9448633642751796
1630172,Patrick Williams,2020-21,71,55,137,49,123.0,159,58.02919708029197,55.74744693457879,2.2817501457131826,1.9295774647887325,2.23943661971831,2.4890257655938233,-0.5594483008050908,2.77513663572482,-0.5357000160065102
1627853,Ryan Arcidiacono,2020-21,44,22,57,22,55.0,66,57.89473684210526,55.74744693457879,2.1472899075264706,1.2954545454545454,1.5,2.4890257655938233,-1.1935712201392779,2.77513663572482,-1.2751366357248202
201152,Thaddeus Young,2020-21,68,19,58,12,42.0,50,43.10344827586207,55.74744693457879,-12.643998658716718,0.8529411764705882,0.7352941176470589,2.4890257655938233,-1.636084589123235,2.77513663572482,-2.0398425180777613
203107,Tomas Satoransky,2020-21,58,39,105,39,102.0,117,55.714285714285715,55.74744693457879,-0.03316122029307422,1.8103448275862069,2.0172413793103448,2.4890257655938233,-0.6786809380076164,2.77513663572482,-0.7578952564144754
1628972,Troy Brown Jr.,2020-21,13,7,23,7,21.0,21,45.65217391304348,55.74744693457879,-10.095273021535313,1.7692307692307692,1.6153846153846154,2.4890257655938233,-0.7197949963630541,2.77513663572482,-1.1597520203402047
1628976,Wendell Carter Jr.,2020-21,32,30,71,8,22.0,68,47.88732394366197,55.74744693457879,-7.860122990916821,2.21875,2.125,2.4890257655938233,-0.27027576559382327,2.77513663572482,-0.6501366357248202
203897,Zach LaVine,2020-21,58,77,165,72,148.0,226,68.48484848484848,55.74744693457879,12.737401550269695,2.8448275862068964,3.896551724137931,2.4890257655938233,0.3558018206130731,2.77513663572482,1.1214150884131109
1627936,Alex Caruso,2021-22,41,37,107,37,104.0,111,51.86915887850467,53.77115498250026,-1.901996103995593,2.6097560975609757,2.707317073170732,2.5346979530703946,0.07505814449058112,2.725872729367487,-0.018555656196755255
1628035,Alfonzo McKinnie,2021-22,17,9,26,9,25.0,27,51.92307692307692,53.77115498250026,-1.8480780594233437,1.5294117647058822,1.588235294117647,2.5346979530703946,-1.0052861883645123,2.725872729367487,-1.1376374352498402
1628993,Alize Johnson,2021-22,16,0,1,0,1.0,0,0.0,53.77115498250026,-53.77115498250026,0.0625,0.0,2.5346979530703946,-2.4721979530703946,2.725872729367487,-2.725872729367487
1630245,Ayo Dosunmu,2021-22,77,72,185,68,177.0,212,57.2972972972973,53.77115498250026,3.5261423147970348,2.4025974025974026,2.7532467532467533,2.5346979530703946,-0.13210055047299196,2.725872729367487,0.02737402387926613
1629632,Coby White,2021-22,61,114,282,113,278.0,341,60.46099290780142,53.77115498250026,6.6898379253011555,4.622950819672131,5.590163934426229,2.5346979530703946,2.088252866601737,2.725872729367487,2.864291205058742
201942,DeMar DeRozan,2021-22,76,72,189,43,119.0,187,49.47089947089947,53.77115498250026,-4.300255511600795,2.486842105263158,2.460526315789474,2.5346979530703946,-0.04785584780723662,2.725872729367487,-0.26534641357801325
1627884,Derrick Jones Jr.,2021-22,51,20,60,19,59.0,59,49.166666666666664,53.77115498250026,-4.604488315833599,1.1764705882352942,1.1568627450980393,2.5346979530703946,-1.3582273648351004,2.725872729367487,-1.5690099842694478
