season_end_year,season,player_id,player,game_id,game_date,matchup,opponent,result,minutes,points,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,tov,pf,plus_minus,game_score,ts_pct,player_source_url,team_game_date,team_matchup,team_result,team_points,team_plus_minus,decade
1989,1988–89,77697,Ed Nealy,28800009,1988-11-04,CHI vs. DET,DET,L,9.0,2,1,1.0,0.0,0.0,0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,,1.4999999999999996,100.0,https://www.nba.com/stats/players/boxscores-traditional?Season=1988-89&SeasonType=Regular%20Season&TeamID=1610612741,1988-11-04,CHI vs. DET,L,94,,1980s
1989,1988–89,78110,Brad Sellers,28800009,1988-11-04,CHI vs. DET,DET,L,29.0,6,2,8.0,0.0,0.0,2,4.0,1.0,2.0,3.0,0.0,0.0,3.0,0.0,2.0,,3.0,30.737704918032787,https://www.nba.com/stats/players/boxscores-traditional?Season=1988-89&SeasonType=Regular%20Season&TeamID=1610612741,1988-11-04,CHI vs. DET,L,94,,1980s
1990,1989–90,351,Stacey King,28900009,1989-11-03,CHI vs. CLE,CLE,W,15.0,5,0,2.0,0.0,0.0,5,8.0,1.0,2.0,3.0,0.0,1.0,0.0,2.0,3.0,,1.4999999999999991,45.289855072463766,https://www.nba.com/stats/players/boxscores-traditional?Season=1989-90&SeasonType=Regular%20Season&TeamID=1610612741,1989-11-03,CHI vs. CLE,W,124,,1980s
1990,1989–90,781,Will Perdue,28900009,1989-11-03,CHI vs. CLE,CLE,W,4.0,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.7,0.0,https://www.nba.com/stats/players/boxscores-traditional?Season=1989-90&SeasonType=Regular%20Season&TeamID=1610612741,1989-11-03,CHI vs. CLE,W,124,,1980s
1990,1989–90,270,Horace Grant,28900009,1989-11-03,CHI vs. CLE,CLE,W,45.0,17,6,8.0,0.0,0.0,5,6.0,2.0,5.0,7.0,3.0,1.0,2.0,3.0,5.0,,15.799999999999997,79.88721804511277,https://www.nba.com/stats/players/boxscores-traditional?Season=1989-90&SeasonType=Regular%20Season&TeamID=1610612741,1989-11-03,CHI vs. CLE,W,124,,1980s
1990,1989–90,77820,John Paxson,28900009,1989-11-03,CHI vs. CLE,CLE,W,34.0,2,1,4.0,0.0,0.0,0,0.0,1.0,0.0,1.0,6.0,1.0,0.0,0.0,2.0,,4.699999999999999,25.0,https://www.nba.com/stats/players/boxscores-traditional?Season=1989-90&SeasonType=Regular%20Season&TeamID=1610612741,1989-11-03,CHI vs. CLE,W,124,,1980s
1990,1989–90,937,Scottie Pippen,28900009,1989-11-03,CHI vs. CLE,CLE,W,51.0,19,8,24.0,1.0,4.0,2,4.0,1.0,2.0,3.0,7.0,2.0,1.0,5.0,4.0,,6.9,36.878881987577635,https://www.nba.com/stats/players/boxscores-traditional?Season=1989-90&SeasonType=Regular%20Season&TeamID=1610612741,1989-11-03,CHI vs. CLE,W,124,,1980s
1990,1989–90,76362,Bill Cartwright,28900009,1989-11-03,CHI vs. CLE,CLE,W,42.0,17,6,14.0,0.0,0.0,5,8.0,6.0,9.0,15.0,2.0,1.0,1.0,1.0,5.0,,15.399999999999995,48.51598173515982,https://www.nba.com/stats/players/boxscores-traditional?Season=1989-90&SeasonType=Regular%20Season&TeamID=1610612741,1989-11-03,CHI vs. CLE,W,124,,1980s
1990,1989–90,769,B.J. Armstrong,28900009,1989-11-03,CHI vs. CLE,CLE,W,15.0,2,1,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,,-0.10000000000000009,50.0,https://www.nba.com/stats/players/boxscores-traditional?Season=1989-90&SeasonType=Regular%20Season&TeamID=1610612741,1989-11-03,CHI vs. CLE,W,124,,1980s
1990,1989–90,77034,Craig Hodges,28900009,1989-11-03,CHI vs. CLE,CLE,W,12.0,8,3,7.0,2.0,5.0,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,,5.199999999999999,57.14285714285714,https://www.nba.com/stats/players/boxscores-traditional?Season=1989-90&SeasonType=Regular%20Season&TeamID=1610612741,1989-11-03,CHI vs. CLE,W,124,,1980s
1990,1989–90,893,Michael Jordan,28900009,1989-11-03,CHI vs. CLE,CLE,W,47.0,54,19,31.0,1.0,2.0,15,17.0,3.0,11.0,14.0,6.0,3.0,1.0,0.0,3.0,,51.2,70.16632016632016,https://www.nba.com/stats/players/boxscores-traditional?Season=1989-90&SeasonType=Regular%20Season&TeamID=1610612741,1989-11-03,CHI vs. CLE,W,124,,1980s
1991,1990–91,781,Will Perdue,29000009,1990-11-02,CHI vs. PHL,PHL,L,12.0,2,1,3.0,0.0,0.0,0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,5.0,,-1.0,33.33333333333333,https://www.nba.com/stats/players/boxscores-traditional?Season=1990-91&SeasonType=Regular%20Season&TeamID=1610612741,1990-11-02,CHI vs. PHL,L,116,,1990s
