season,player_id,log_name,games_with_and1,and1s,and1s_3pt,and1s_flagrant,and1s_made_ft,player_name,games,off_poss,pbpstats_and1s,per_100,nba_rank,bbr_and1s,diff_bbr,diff_pbpstats
2010-11,200758,Brewer,13,15,0,0,7,Ronnie Brewer,81,3306,15,0.4537205081669691,117.0,16.0,-1.0,0
2010-11,201149,Noah,15,17,0,0,13,Joakim Noah,48,3004,17,0.5659121171770972,107.0,17.0,0.0,0
2010-11,201228,Watson,5,5,0,0,5,C.J. Watson,82,2028,5,0.2465483234714004,262.0,5.0,0.0,0
2010-11,201565,Rose,37,50,2,0,45,Derrick Rose,81,5715,50,0.8748906386701663,12.0,50.0,0.0,0
2010-11,201600,Asik,7,8,0,0,6,Omer Asik,82,1825,8,0.4383561643835616,,,,0
2010-11,201949,Johnson,1,1,0,0,0,James Johnson,13,245,1,0.40816326530612246,237.0,1.0,0.0,0
2010-11,201959,Gibson,7,8,0,0,5,Taj Gibson,80,3216,8,0.24875621890547264,217.0,8.0,0.0,0
2011-12,1888,Hamilton,8,8,0,0,7,Richard Hamilton,28,1310,8,0.6106870229007634,171.0,8.0,0.0,0
2011-12,2229,James,2,2,0,0,2,Mike James,11,222,2,0.9009009009009009,308.0,2.0,0.0,0
2011-12,2430,Boozer,13,15,0,0,8,Carlos Boozer,66,3651,15,0.4108463434675431,75.0,15.0,0.0,0
2011-12,2594,Korver,2,2,0,0,1,Kyle Korver,65,2727,2,0.07334066740007333,308.0,2.0,0.0,0
2011-12,2736,Deng,13,15,0,0,11,Luol Deng,54,3949,15,0.37984299822739936,75.0,15.0,0.0,0
2011-12,101249,Lucas III,1,1,0,0,0,John Lucas III,49,1312,1,0.07621951219512195,308.0,2.0,-1.0,0
2011-12,200758,Brewer,6,6,0,0,4,Ronnie Brewer,66,3024,6,0.1984126984126984,208.0,6.0,0.0,0
2011-12,201149,Noah,12,12,0,0,10,Joakim Noah,64,3660,12,0.32786885245901637,107.0,12.0,0.0,0
2011-12,201228,Watson,3,3,0,0,2,C.J. Watson,49,2152,3,0.13940520446096655,280.0,3.0,0.0,0
2011-12,201565,Rose,18,22,1,0,18,Derrick Rose,39,2599,22,0.8464794151596768,40.0,22.0,0.0,0
