season,season_end_year,player_id,player_name,bench_games,total_games,bench_game_share,bench_minutes,bench_points,bench_points_per_game,bench_minutes_per_game,total_points,qualified
2007-08,2008,693,Joe Smith,15,50,0.3,240.65333333333336,98,6.533333333333333,16.043555555555557,559,False
2007-08,2008,2550,Kirk Hinrich,3,75,0.04,84.995,47,15.666666666666666,28.331666666666667,862,False
2007-08,2008,1716,Larry Hughes,3,28,0.10714285714285714,85.88333333333334,56,18.666666666666668,28.62777777777778,336,False
2007-08,2008,2736,Luol Deng,4,63,0.06349206349206349,93.27166666666666,61,15.25,23.317916666666665,1070,False
2007-08,2008,200769,Shannon Brown,6,6,1.0,21.8,9,1.5,3.6333333333333333,9,True
2007-08,2008,200757,Thabo Sefolosha,47,69,0.6811594202898551,737.2966666666666,202,4.297872340425532,15.687163120567375,464,False
2007-08,2008,201242,Thomas Gardner,4,4,1.0,44.733333333333334,21,5.25,11.183333333333334,21,True
2007-08,2008,200748,Tyrus Thomas,47,74,0.6351351351351351,651.7083333333334,227,4.829787234042553,13.86613475177305,502,False
2007-08,2008,2751,Viktor Khryapa,9,9,1.0,104.70833333333331,32,3.5555555555555554,11.634259259259258,32,True
2008-09,2009,201189,Aaron Gray,38,56,0.6785714285714286,409.0516666666667,123,3.236842105263158,10.764517543859649,196,False
2008-09,2009,2804,Andres Nocioni,51,53,0.9622641509433962,1205.5316666666668,518,10.156862745098039,23.637875816993464,551,True
2008-09,2009,101194,Anthony Roberson,6,6,1.0,22.536666666666665,12,2.0,3.7561111111111107,12,True
2008-09,2009,2732,Ben Gordon,6,82,0.07317073170731707,170.65,111,18.5,28.441666666666666,1699,False
2008-09,2009,1802,Brad Miller,27,27,1.0,746.0283333333333,318,11.777777777777779,27.630679012345677,318,True
2008-09,2009,200759,Cedric Simmons,11,11,1.0,60.79833333333333,28,2.5454545454545454,5.527121212121212,28,True
2008-09,2009,201193,Demetris Nichols,2,2,1.0,5.466666666666667,2,1.0,2.7333333333333334,2,True
2008-09,2009,201565,Derrick Rose,1,81,0.012345679012345678,30.05,9,9.0,30.05,1361,False
2008-09,2009,2400,Drew Gooden,4,31,0.12903225806451613,86.73833333333333,44,11.0,21.684583333333332,406,False
2008-09,2009,201149,Joakim Noah,25,80,0.3125,486.2783333333333,131,5.24,19.45113333333333,537,False
2008-09,2009,2422,John Salmons,5,26,0.19230769230769232,153.96833333333333,75,15.0,30.793666666666667,476,False
2008-09,2009,2550,Kirk Hinrich,47,51,0.9215686274509803,1202.34,439,9.340425531914894,25.58170212765957,503,True
2008-09,2009,1716,Larry Hughes,24,30,0.8,588.9633333333334,274,11.416666666666666,24.54013888888889,361,True
2008-09,2009,283,Lindsey Hunter,28,28,1.0,265.5283333333333,73,2.607142857142857,9.48315476190476,73,True
2008-09,2009,2669,Linton Johnson,8,8,1.0,42.28333333333333,9,1.125,5.285416666666666,9,True
2008-09,2009,2736,Luol Deng,3,49,0.061224489795918366,64.30333333333333,26,8.666666666666666,21.43444444444444,690,False
2008-09,2009,200757,Thabo Sefolosha,29,43,0.6744186046511628,415.3716666666666,108,3.7241379310344827,14.323160919540229,194,False
2008-09,2009,1501,Tim Thomas,18,18,1.0,253.88666666666663,105,5.833333333333333,14.104814814814812,105,True
2008-09,2009,200748,Tyrus Thomas,18,79,0.22784810126582278,362.595,140,7.777777777777778,20.144166666666667,857,False
2009-10,2010,201189,Aaron Gray,8,8,1.0,49.74,18,2.25,6.2175,18,True
2009-10,2010,201151,Acie Law,11,12,0.9166666666666666,102.62,48,4.363636363636363,9.32909090909091,66,True
