season_end_year,season,player_id,player,game_id,game_date,matchup,opponent,result,minutes,points,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,tov,pf,plus_minus,game_score,ts_pct,player_source_url,team_game_date,team_matchup,team_result,team_points,team_plus_minus,decade,first_nba_season_end,first_bulls_season_end,debut_rule,is_debut,rookie_season,status
1987,1986–87,77873,Ben Poquette,0028600600,1987-02-20,CHI vs. LAL,LAL,L,11.0,0,0,1.0,0.0,0.0,0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,,-0.6000000000000001,0.0,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741,1987-02-20,CHI vs. LAL,L,100,,1980s,1978,1987,career team history,True,False,debut
1988,1987–88,78514,Tony White,0028700016,1987-11-07,CHI vs. PHL,PHL,W,1.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,https://www.nba.com/stats/players/boxscores-traditional?Season=1987-88&SeasonType=Regular%20Season&TeamID=1610612741,1987-11-07,CHI vs. PHL,W,104,,1980s,1988,1988,entered NBA 1983-84 or later,True,True,debut
1988,1987–88,270,Horace Grant,0028700016,1987-11-07,CHI vs. PHL,PHL,W,13.0,3,1,4.0,0.0,0.0,1,2.0,1.0,0.0,1.0,0.0,4.0,0.0,1.0,2.0,,3.1000000000000005,30.737704918032787,https://www.nba.com/stats/players/boxscores-traditional?Season=1987-88&SeasonType=Regular%20Season&TeamID=1610612741,1987-11-07,CHI vs. PHL,W,104,,1980s,1988,1988,entered NBA 1983-84 or later,True,True,debut
1988,1987–88,937,Scottie Pippen,0028700016,1987-11-07,CHI vs. PHL,PHL,W,23.0,10,4,7.0,0.0,0.0,2,4.0,1.0,0.0,1.0,4.0,2.0,0.0,4.0,2.0,,6.600000000000001,57.077625570776256,https://www.nba.com/stats/players/boxscores-traditional?Season=1987-88&SeasonType=Regular%20Season&TeamID=1610612741,1987-11-07,CHI vs. PHL,W,104,,1980s,1988,1988,entered NBA 1983-84 or later,True,True,debut
1988,1987–88,600014,Artis Gilmore,0028700016,1987-11-07,CHI vs. PHL,PHL,W,10.0,0,0,1.0,0.0,0.0,0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,4.0,,-3.7,0.0,https://www.nba.com/stats/players/boxscores-traditional?Season=1987-88&SeasonType=Regular%20Season&TeamID=1610612741,1987-11-07,CHI vs. PHL,W,104,,1980s,1977,1977,career team history,False,False,earlier Bulls stint (first Bulls season ended 1977)
1988,1987–88,600009,Rory Sparrow,0028700045,1987-11-13,CHI vs. NJN,NJN,W,18.0,6,3,4.0,0.0,0.0,0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,1.0,2.0,,8.0,75.0,https://www.nba.com/stats/players/boxscores-traditional?Season=1987-88&SeasonType=Regular%20Season&TeamID=1610612741,1987-11-13,CHI vs. NJN,W,103,,1980s,1981,1988,career team history,True,False,debut
1988,1987–88,78417,Sam Vincent,0028700600,1988-02-26,CHI vs. POR,POR,L,11.0,2,0,1.0,0.0,0.0,2,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,53.191489361702125,https://www.nba.com/stats/players/boxscores-traditional?Season=1987-88&SeasonType=Regular%20Season&TeamID=1610612741,1988-02-26,CHI vs. POR,L,96,,1980s,1986,1988,entered NBA 1983-84 or later,True,False,debut
1989,1988–89,77173,Anthony Jones,0028800009,1988-11-04,CHI vs. DET,DET,L,5.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,-1.2000000000000002,0.0,https://www.nba.com/stats/players/boxscores-traditional?Season=1988-89&SeasonType=Regular%20Season&TeamID=1610612741,1988-11-04,CHI vs. DET,L,94,,1980s,1987,1989,entered NBA 1983-84 or later,True,False,debut
1989,1988–89,76362,Bill Cartwright,0028800009,1988-11-04,CHI vs. DET,DET,L,35.0,14,4,7.0,0.0,0.0,6,9.0,2.0,8.0,10.0,2.0,1.0,1.0,4.0,3.0,,11.200000000000003,63.86861313868613,https://www.nba.com/stats/players/boxscores-traditional?Season=1988-89&SeasonType=Regular%20Season&TeamID=1610612741,1988-11-04,CHI vs. DET,L,94,,1980s,1980,1989,career team history,True,False,debut
1989,1988–89,77697,Ed Nealy,0028800009,1988-11-04,CHI vs. DET,DET,L,9.0,2,1,1.0,0.0,0.0,0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,,1.4999999999999996,100.0,https://www.nba.com/stats/players/boxscores-traditional?Season=1988-89&SeasonType=Regular%20Season&TeamID=1610612741,1988-11-04,CHI vs. DET,L,94,,1980s,1983,1989,career team history,True,False,debut
