season_end_year,PLAYER_ID,official,attributed,difference
2026,202696,181,181,0
2026,1627824,45,45,0
2026,1628380,15,15,0
2026,1628975,19,19,0
2026,1628989,116,116,0
2026,1629012,66,66,0
2026,1629014,18,18,0
2026,1629632,136,136,0
2026,1630171,100,100,0
2026,1630172,105,105,0
2026,1630188,65,65,0
2026,1630200,350,350,0
2026,1630208,8,8,0
2026,1630245,164,164,0
2026,1630581,494,494,0
2026,1630644,9,9,0
2026,1631093,16,16,0
2026,1631159,35,35,0
2026,1631207,43,43,0
2026,1631338,6,6,0
2026,1641763,7,7,0
2026,1641801,4,4,0
2026,1641824,158,158,0
2026,1642265,85,85,0
2026,1642280,1,1,0
2026,1642530,47,47,0
2026,1642855,0,0,0
2026,1642950,42,42,0
