SEASON,PLAYER_ID,PLAYER_NAME,GP,TOTAL_FGA,FGA,FGM,OTHER_FGA,FGA_SHARE,ATT_G,FG_PCT,PPS,EXCLUDED_HEAVES,RANK
2024-25,1641824,Matas Buzelis,80,555,34,11,521,0.06126126126126126,0.425,0.3235294117647059,0.6470588235294118,0,61
2020-21,203897,Zach LaVine,58,1123,19,10,1104,0.016918967052537846,0.3275862068965517,0.5263157894736842,1.0526315789473684,1,67
2020-21,202696,Nikola Vučević,26,488,20,10,468,0.040983606557377046,0.7692307692307693,0.5,1.0,0,67
2018-19,1626166,Cameron Payne,31,168,24,10,144,0.14285714285714285,0.7741935483870968,0.4166666666666667,0.8333333333333334,0,67
2018-19,203953,Jabari Parker,39,464,11,9,453,0.023706896551724137,0.28205128205128205,0.8181818181818182,1.6363636363636365,0,70
2016-17,1626171,Bobby Portis Jr.,64,375,17,9,358,0.04533333333333334,0.265625,0.5294117647058824,1.0588235294117647,0,70
2020-21,1628374,Lauri Markkanen,51,521,19,9,502,0.036468330134357005,0.37254901960784315,0.47368421052631576,0.9473684210526315,0,70
2024-25,1631207,Dalen Terry,73,268,22,9,246,0.08208955223880597,0.3013698630136986,0.4090909090909091,0.8181818181818182,0,70
2017-18,203200,Justin Holiday,72,782,23,9,759,0.029411764705882353,0.3194444444444444,0.391304347826087,0.782608695652174,0,70
2022-23,1630172,Patrick Williams,82,677,25,9,652,0.03692762186115214,0.3048780487804878,0.36,0.72,0,70
2018-19,1627885,Shaquille Harrison,73,426,28,9,398,0.06572769953051644,0.3835616438356164,0.32142857142857145,0.6428571428571429,0,70
2019-20,1628990,Chandler Hutchison,28,175,29,9,146,0.1657142857142857,1.0357142857142858,0.3103448275862069,0.6206896551724138,0,70
2018-19,201577,Robin Lopez,74,535,11,8,524,0.020560747663551402,0.14864864864864866,0.7272727272727273,1.4545454545454546,0,78
2016-17,201959,Taj Gibson,55,530,12,8,518,0.022641509433962263,0.21818181818181817,0.6666666666666666,1.3333333333333333,0,78
2019-20,1627885,Shaquille Harrison,43,165,15,8,150,0.09090909090909091,0.3488372093023256,0.5333333333333333,1.0666666666666667,0,78
2015-16,203503,Tony Snell,64,339,16,8,323,0.0471976401179941,0.25,0.5,1.0,0,78
2018-19,203490,Otto Porter Jr.,15,201,17,8,184,0.0845771144278607,1.1333333333333333,0.47058823529411764,0.9411764705882353,0,78
2025-26,1629632,Coby White,29,393,18,8,375,0.04580152671755725,0.6206896551724138,0.4444444444444444,0.8888888888888888,0,78
2020-21,202066,Garrett Temple,56,381,19,8,362,0.049868766404199474,0.3392857142857143,0.42105263157894735,0.8421052631578947,0,78
2019-20,1628374,Lauri Markkanen,50,591,20,8,571,0.0338409475465313,0.4,0.4,0.8,0,78
2025-26,1642265,Rob Dillingham,30,271,22,8,249,0.08118081180811808,0.7333333333333333,0.36363636363636365,0.7272727272727273,0,78
2015-16,202710,Jimmy Butler III,67,1035,22,8,1013,0.021256038647342997,0.3283582089552239,0.36363636363636365,0.7272727272727273,0,78
2017-18,1628374,Lauri Markkanen,68,862,11,7,851,0.012761020881670533,0.16176470588235295,0.6363636363636364,1.2727272727272727,0,88
2016-17,203477,Isaiah Canaan,39,173,12,7,161,0.06936416184971098,0.3076923076923077,0.5833333333333334,1.1666666666666667,0,88
2024-25,203897,Zach LaVine,42,710,14,7,696,0.01971830985915493,0.3333333333333333,0.5,1.0,0,88
2022-23,203083,Andre Drummond,67,274,14,7,260,0.051094890510948905,0.208955223880597,0.5,1.0,0,88
2016-17,1626170,Jerian Grant,63,301,17,7,284,0.05647840531561462,0.2698412698412698,0.4117647058823529,0.8235294117647058,0,88
2020-21,203490,Otto Porter Jr.,25,202,18,7,184,0.0891089108910891,0.72,0.3888888888888889,0.7777777777777778,0,88
2018-19,1628990,Chandler Hutchison,44,209,18,7,191,0.0861244019138756,0.4090909090909091,0.3888888888888889,0.7777777777777778,0,88
2024-25,1630172,Patrick Williams,63,516,19,7,497,0.03682170542635659,0.30158730158730157,0.3684210526315789,0.7368421052631579,0,88
2019-20,1627853,Ryan Arcidiacono,58,220,22,7,198,0.1,0.3793103448275862,0.3181818181818182,0.6363636363636364,0,88
2017-18,1626170,Jerian Grant,74,503,23,7,480,0.04572564612326044,0.3108108108108108,0.30434782608695654,0.6086956521739131,0,88
2023-24,203897,Zach LaVine,25,376,11,6,365,0.02925531914893617,0.44,0.5454545454545454,1.0909090909090908,0,98
2015-16,2200,Pau Gasol,72,995,12,6,983,0.012060301507537688,0.16666666666666666,0.5,1.0,0,98
2024-25,1628380,Zach Collins,28,170,14,6,156,0.08235294117647059,0.5,0.42857142857142855,0.8571428571428571,0,98
2023-24,1630172,Patrick Williams,43,359,17,6,342,0.04735376044568245,0.3953488372093023,0.35294117647058826,0.7058823529411765,0,98
