season,season_label,player_id,player_name,team_id,team_abbreviation,age,nickname,restricted_area_fgm,restricted_area_fga,restricted_area_fg_pct,in_the_paint_non_ra_fgm,in_the_paint_non_ra_fga,in_the_paint_non_ra_fg_pct,mid_range_fgm,mid_range_fga,mid_range_fg_pct,left_corner_3_fgm,left_corner_3_fga,left_corner_3_fg_pct,right_corner_3_fgm,right_corner_3_fga,right_corner_3_fg_pct,above_the_break_3_fgm,above_the_break_3_fga,above_the_break_3_fg_pct,backcourt_fgm,backcourt_fga,backcourt_fg_pct,corner_3_fgm,corner_3_fga,corner_3_fg_pct
2022,2021-22,1630644,Mac McClung,1610612747,LAL,23.0,Mac,0,0,0.0,0,0,0.0,1,1,1.0,,,,,,,0,0,0.0,,,,,,
2022,2021-22,1630792,Malcolm Hill,1610612741,CHI,26.0,Malcolm,3,5,0.6,4,6,0.667,2,3,0.667,3.0,4.0,0.75,1.0,3.0,0.333,6,23,0.261,0.0,0.0,0.0,4.0,7.0,0.571
2022,2021-22,1630250,Marko Simonovic,1610612741,CHI,22.0,Marko,3,6,0.5,0,2,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,0.2,0.0,0.0,0.0,0.0,0.0,0.0
2023,2022-23,1631207,Dalen Terry,1610612741,CHI,20.0,Dalen,20,33,0.606,3,7,0.429,2,5,0.4,1.0,4.0,0.25,2.0,8.0,0.25,4,15,0.267,0,0,0.0,3.0,12.0,0.25
2024,2023-24,1641766,Adama Sanogo,1610612741,CHI,22.0,Adama,12,20,0.6,2,7,0.286,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2024,2023-24,1641847,Andrew Funk,1610612741,CHI,24.0,Andrew,0,0,0.0,0,1,0.0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0.0,0,0,0.0,0.0,2.0,0.0
2024,2023-24,1630929,Henri Drell,1610612741,CHI,24.0,Henri,2,2,1.0,0,2,0.0,0,0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,1,3,0.333,0,0,0.0,1.0,3.0,0.333
2024,2023-24,1641763,Julian Phillips,1610612741,CHI,20.0,Julian,17,34,0.5,1,2,0.5,2,3,0.667,3.0,9.0,0.333,7.0,13.0,0.538,2,16,0.125,0,0,0.0,10.0,22.0,0.455
2024,2023-24,1641931,Onuralp Bitim,1610612741,CHI,25.0,Onuralp,12,19,0.632,4,12,0.333,4,9,0.444,2.0,10.0,0.2,2.0,5.0,0.4,8,29,0.276,0,0,0.0,4.0,15.0,0.267
2025,2024-25,1641801,Emanuel Miller,1610612741,CHI,25.0,Emanuel,3,6,0.5,1,1,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0,0,0.0,0.0,0.0,0.0
2025,2024-25,1642443,Jahmir Young,1610612741,CHI,24.0,Jahmir,3,3,1.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0.5,0,0,0.0,0.0,0.0,0.0
2025,2024-25,1641824,Matas Buzelis,1610612741,CHI,20.0,Matas,121,205,0.59,30,67,0.448,5,17,0.294,35.0,81.0,0.432,14.0,54.0,0.259,47,131,0.359,0,0,0.0,49.0,135.0,0.363
2026,2025-26,1642950,Lachlan Olbrich,1610612741,CHI,22.0,Lachlan,25,43,0.581,8,14,0.571,1,1,1.0,0.0,6.0,0.0,0.0,1.0,0.0,2,12,0.167,0.0,0.0,0.0,0.0,7.0,0.0
2026,2025-26,1642855,Noa Essengue,1610612741,CHI,19.0,Noa,0,1,0.0,0,0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0.0,,,,0.0,1.0,0.0
