season,season_label,player_id,player_name,draft_year,draft_round,draft_number,draft_label,draft_caption,games,minutes,mpg,ppg,rpg,apg,spg,bpg,ts_pct_relative,tov_per_game,tov_pct,tov_pct_relative,ts_pct,ws,bpm,net_rating,net_on_off,impact
2012,2011-12,202710,Jimmy Butler III,2011,1,30,PK30,"2011, #30 pick",42,359.0316666666667,8.548373015873016,2.5952380952380953,1.3333333333333333,0.3333333333333333,0.2619047619047619,0.11904761904761904,-0.10000000000000009,0.3333333333333333,11.900714042842571,-1.9579859571574296,0.526,1.1,-1.3,12.2,6.2,
2011,2010-11,201600,Omer Asik,2008,2,36,PK36,"2008, #36 pick",82,989.4483333333334,12.066443089430894,2.792682926829268,3.731707317073171,0.3902439024390244,0.24390243902439024,0.6829268292682927,1.8000000000000016,0.7804878048780488,23.809523809523807,10.279823809523807,0.559,2.7,-1.8,13.1,9.4,9.4
2010,2009-10,201959,Taj Gibson,2009,1,26,PK26,"2009, #26 pick",82,2203.5816666666665,26.872947154471543,8.963414634146341,7.451219512195122,0.8536585365853658,0.6097560975609756,1.2682926829268293,-2.200000000000002,1.3902439024390243,13.902439024390246,0.6737390243902457,0.521,4.7,-2.0,-0.8,1.3,1.3
2010,2009-10,201949,James Johnson,2009,1,16,PK16,"2009, #16 pick",65,757.1766666666666,11.648871794871795,3.9384615384615387,1.9692307692307693,0.7384615384615385,0.3230769230769231,0.6615384615384615,-1.100000000000001,0.9538461538461539,20.47556142668428,7.24686142668428,0.532,0.8,-2.4,-8.1,-9.4,-9.4
2009,2008-09,201565,Derrick Rose,2008,1,1,PK1,"2008, #1 pick",81,3000.048333333333,37.03763374485597,16.80246913580247,3.9135802469135803,6.320987654320987,0.8148148148148148,0.2222222222222222,-2.8384860318264926,2.493827160493827,13.289473684210526,-0.3968263157894736,0.516,4.9,-0.4,-1.8,-8.0,-8.0
2008,2007-08,201149,Joakim Noah,2007,1,9,PK9,"2007, #9 pick",74,1533.715,20.725878378378376,6.594594594594595,5.621621621621622,1.135135135135135,0.918918918918919,0.8648648648648649,-0.1242246266297542,1.2027027027027026,16.440076843505246,2.2933768435052464,0.539,3.8,-0.2,-0.4,4.2,4.2
2008,2007-08,201189,Aaron Gray,2007,2,49,PK49,"2007, #49 pick",61,612.9966666666667,10.04912568306011,4.295081967213115,2.7540983606557377,0.6721311475409836,0.3442622950819672,0.26229508196721313,-1.124224626629755,0.9344262295081968,18.71552403467297,4.568824034672971,0.529,0.8,-3.5,-0.6,2.7,
2007,2006-07,200748,Tyrus Thomas,2006,1,4,PK4,"2006, #4 pick",72,966.235,13.419930555555556,5.194444444444445,3.736111111111111,0.5555555555555556,0.6388888888888888,1.0555555555555556,-2.0464926125065785,1.3055555555555556,20.750551876379692,7.382051876379693,0.521,2.2,-1.0,8.6,4.6,4.6
2007,2006-07,200757,Thabo Sefolosha,2006,1,13,PK13,"2006, #13 pick",71,867.9233333333333,12.224272300469483,3.6056338028169015,2.1549295774647885,0.8450704225352113,0.4647887323943662,0.15492957746478872,-7.746492612506578,0.8450704225352113,17.86777843954735,4.499278439547352,0.464,0.8,-2.6,5.3,0.1,0.1
2005,2004-05,2768,Chris Duhon,2004,2,38,PK38,"2004, #38 pick",82,2171.7633333333333,26.48491869918699,5.939024390243903,2.597560975609756,4.853658536585366,1.0,0.036585365853658534,-5.840559133995027,1.451219512195122,18.696581196581196,4.168781196581197,0.471,4.1,-0.7,3.5,3.3,3.3
2005,2004-05,2732,Ben Gordon,2004,1,3,PK3,"2004, #3 pick",82,2013.0933333333332,24.54991869918699,15.060975609756097,2.6219512195121952,2.0,0.6463414634146342,0.12195121951219512,-0.340559133995022,2.268292682926829,13.668430335097002,-0.8593696649029976,0.526,3.5,0.7,4.2,4.6,4.6
2005,2004-05,2804,Andres Nocioni,Undrafted,Undrafted,Undrafted,UDFA,Undrafted,81,1895.4983333333332,23.401213991769545,8.358024691358025,4.765432098765432,1.5061728395061729,0.4567901234567901,0.41975308641975306,-4.540559133995026,1.6666666666666667,16.193263602341425,1.6654636023414255,0.484,2.5,-2.0,-3.8,-9.8,-9.8
2005,2004-05,2736,Luol Deng,2004,1,7,PK7,"2004, #7 pick",61,1661.07,27.230655737704918,11.655737704918034,5.278688524590164,2.2131147540983607,0.7868852459016393,0.4426229508196721,-3.3405591339950247,1.9344262295081966,14.143932492688307,-0.3838675073116917,0.496,3.0,1.2,5.2,6.3,6.3
2004,2003-04,2550,Kirk Hinrich,2003,1,7,PK7,"2003, #7 pick",76,2709.2683333333334,35.64826754385965,12.039473684210526,3.4078947368421053,6.802631578947368,1.3289473684210527,0.27631578947368424,-0.6196723896250034,2.6842105263157894,18.529956763434217,4.570456763434217,0.51,4.1,-0.8,-4.3,6.0,6.0
2004,2003-04,2648,Ronald Dupree,Undrafted,Undrafted,Undrafted,UDFA,Undrafted,47,901.7766666666666,19.18673758865248,6.212765957446808,3.5531914893617023,1.1702127659574468,0.6808510638297872,0.3829787234042553,-7.119672389625004,1.0851063829787233,13.449367088607595,-0.5101329113924056,0.445,0.5,-4.3,-5.7,0.4,0.4
2004,2003-04,2669,Linton Johnson,Undrafted,Undrafted,Undrafted,UDFA,Undrafted,41,732.4466666666667,17.864552845528458,4.219512195121951,4.463414634146342,0.6585365853658537,0.9024390243902439,0.7804878048780488,-12.219672389625003,0.9024390243902439,14.437334165756205,0.47783416575620485,0.394,0.4,-3.3,-9.8,-3.7,
2003,2002-03,2398,Jay Williams,2002,1,2,PK2,"2002, #2 pick",75,1961.19,26.1492,9.52,2.6,4.666666666666667,1.1466666666666667,0.22666666666666666,-4.735846176067071,2.28,18.449786370894653,3.3182863708946524,0.472,0.8,-2.0,-9.6,-8.3,-8.3
2003,2002-03,2437,Lonny Baxter,2002,2,43,PK43,"2002, #43 pick",55,683.6466666666666,12.429939393939394,4.763636363636364,3.0,0.2909090909090909,0.16363636363636364,0.4,0.1641538239329332,0.8363636363636363,15.471545809229115,0.34004580922911387,0.521,0.9,-5.4,-2.8,2.8,
2002,2001-02,2239,Trenton Hassell,2001,2,29,PK29,"2001, #29 pick",78,2235.5783333333334,28.661260683760684,8.73076923076923,3.269230769230769,2.2051282051282053,0.7051282051282052,0.5641025641025641,-1.8289748795768834,1.294871794871795,12.9626777555316,-1.625622244468401,0.502,1.5,-2.7,-10.6,-3.3,-3.3
2002,2001-02,2199,Tyson Chandler,2001,1,2,PK2,"2001, #2 pick",71,1392.8166666666666,19.617136150234742,6.140845070422535,4.830985915492958,0.7605633802816901,0.39436619718309857,1.3098591549295775,2.27102512042312,1.3943661971830985,19.773108572341616,5.184808572341616,0.543,1.8,-3.5,-7.1,3.5,3.5
2002,2001-02,2201,Eddy Curry,2001,1,4,PK4,"2001, #4 pick",72,1150.7783333333334,15.983032407407409,6.708333333333333,3.7777777777777777,0.3472222222222222,0.2222222222222222,0.7361111111111112,1.97102512042312,0.9583333333333334,13.361735089078234,-1.2265649109217662,0.54,1.8,-4.4,-10.6,-2.9,-2.9
2001,2000-01,2033,Marcus Fizer,2000,1,4,PK4,"2000, #4 pick",72,1581.3533333333332,21.96324074074074,9.48611111111111,4.347222222222222,1.0555555555555556,0.4166666666666667,0.2638888888888889,-4.185674254031246,1.7222222222222223,14.747157604300462,-0.04724239569953781,0.476,-0.7,-6.1,-13.1,-6.2,-6.2
2001,2000-01,2037,Jamal Crawford,2000,1,8,PK8,"2000, #8 pick",61,1046.621666666667,17.157732240437163,4.622950819672131,1.459016393442623,2.3114754098360657,0.7049180327868853,0.22950819672131148,-7.585674254031244,1.3934426229508197,21.04168729577186,6.247287295771862,0.442,-0.9,-4.4,-12.4,-3.7,-3.7
2001,2000-01,2064,Khalid El-Amin,2000,2,34,PK34,"2000, #34 pick",50,935.335,18.7067,6.28,1.62,2.9,0.96,0.04,-5.985674254031243,1.08,13.612987798729453,-1.1814122012705468,0.458,0.6,-2.4,-9.3,-0.7,-0.7
2001,2000-01,2062,A.J. Guyton,2000,2,32,PK32,"2000, #32 pick",33,628.5383333333333,19.04661616161616,6.0,1.0909090909090908,1.9393939393939394,0.2727272727272727,0.15151515151515152,-2.2856742540312447,0.7272727272727273,10.718113612004288,-4.076286387995712,0.495,0.3,-4.0,-11.0,-1.5,
2001,2000-01,1434,Dragan Tarlac,1995,2,31,PK31,"1995, #31 pick",43,599.0566666666666,13.931550387596898,2.395348837209302,2.8372093023255816,0.7209302325581395,0.16279069767441862,0.4418604651162791,-6.385674254031243,0.8837209302325582,25.0791974656811,10.284797465681102,0.454,-0.2,-7.3,-15.5,-8.2,
