season,season_label,player_id,player_name,games,minutes,points,rebounds,assists,steals,blocks,turnovers,field_goal_attempts,free_throw_attempts,net_rating
2002,2001-02,2225,Tony Parker,77,2271.1783333333333,705,197,334,89,7,151,639,160,4.0
2002,2001-02,1762,Tremaine Fowlkes,22,340.62166666666667,74,64,17,11,1,13,64,31,-7.1
2002,2001-02,2239,Trenton Hassell,78,2235.5783333333334,681,255,172,55,44,101,628,114,-10.6
2002,2001-02,2211,Troy Murphy,82,1450.3916666666667,480,322,70,36,21,84,423,156,-7.3
2002,2001-02,2199,Tyson Chandler,71,1392.8166666666666,436,343,54,28,93,99,304,222,-7.1
2002,2001-02,2209,Vladimir Radmanovic,61,1234.95,407,230,81,56,24,72,354,72,3.3
2002,2001-02,2226,Will Solomon,62,883.1916666666667,321,68,92,35,7,62,331,73,-5.7
2002,2001-02,2216,Zach Randolph,41,237.20166666666665,114,68,13,7,4,15,107,27,-2.1
2002,2001-02,1442,Zeljko Rebraca,74,1178.4916666666666,513,290,38,28,73,84,374,175,2.8
2003,2002-03,2492,Adam Harrington,19,109.62166666666667,30,8,12,2,1,2,37,4,-12.7
2003,2002-03,2405,Amar'e Stoudemire,82,2569.9383333333335,1106,721,78,62,87,189,830,484,0.6
2003,2002-03,2541,Antoine Rigaudeau,11,89.39333333333333,17,8,6,3,0,6,35,0,-33.0
2003,2002-03,2411,Bostjan Nachbar,14,78.16666666666667,29,11,3,2,2,6,31,10,-8.2
2003,2002-03,2430,Carlos Boozer,81,2047.9583333333333,810,609,106,59,50,103,618,192,-11.3
2003,2002-03,2406,Caron Butler,78,2855.6516666666666,1201,397,213,137,31,192,1032,375,-7.3
2003,2002-03,2418,Casey Jacobsen,72,1145.2383333333332,368,83,73,35,6,55,327,105,4.9
2003,2002-03,2456,Cezary Trybanski,15,88.31833333333333,14,14,1,0,6,8,20,10,-7.5
2003,2002-03,2423,Chris Jefferies,51,666.605,197,59,22,19,16,45,194,43,-8.8
2003,2002-03,2442,Chris Owens,1,6.316666666666666,4,1,0,0,0,1,3,0,50.0
2003,2002-03,2404,Chris Wilcox,46,479.74,171,104,21,7,12,26,140,50,3.6
2003,2002-03,2402,Dajuan Wagner,47,1384.9083333333333,629,82,130,38,7,85,605,160,-9.7
