season_end_year,season,player_id,player,game_id,game_date,matchup,opponent,result,minutes,points,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,tov,pf,plus_minus,game_score,ts_pct,player_source_url,team_game_date,team_matchup,team_result,team_points,team_plus_minus,decade,pool,context_note,overtime_periods
2005,2004–05,2876,Jared Reiner,0020400747,2005-02-13,CHI @ MIN,MIN,W,0.0666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,https://www.nba.com/stats/players/boxscores-traditional?Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,2005-02-13,CHI @ MIN,W,87,4,2000s,Regular season,,0
2005,2004–05,2768,Chris Duhon,0020400725,2005-02-09,CHI @ HOU,HOU,L,26.966666666666665,12,4,8,4,8,0,0,0,2,2,4,1,0,0,3,-5,11.2,75.0,https://www.nba.com/stats/players/boxscores-traditional?Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,2005-02-09,CHI @ HOU,L,92,-13,2000s,Regular season,,0
2005,2004–05,2732,Ben Gordon,0020400725,2005-02-09,CHI @ HOU,HOU,L,24.05,9,4,12,1,3,0,0,2,2,4,0,0,0,1,1,-16,2.800000000000001,37.5,https://www.nba.com/stats/players/boxscores-traditional?Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,2005-02-09,CHI @ HOU,L,92,-13,2000s,Regular season,,0
2005,2004–05,2804,Andres Nocioni,0020400725,2005-02-09,CHI @ HOU,HOU,L,16.796666666666667,7,2,6,0,2,3,3,1,3,4,1,0,0,1,2,-2,4.100000000000001,47.81420765027322,https://www.nba.com/stats/players/boxscores-traditional?Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,2005-02-09,CHI @ HOU,L,92,-13,2000s,Regular season,,0
2005,2004–05,2736,Luol Deng,0020400725,2005-02-09,CHI @ HOU,HOU,L,19.566666666666663,7,3,8,0,1,1,1,1,2,3,2,0,0,2,2,-18,2.5,41.46919431279621,https://www.nba.com/stats/players/boxscores-traditional?Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,2005-02-09,CHI @ HOU,L,92,-13,2000s,Regular season,,0
2005,2004–05,2876,Jared Reiner,0020400725,2005-02-09,CHI @ HOU,HOU,L,7.05,2,1,3,0,0,0,0,3,0,3,0,0,0,0,2,10,1.5999999999999999,33.33333333333333,https://www.nba.com/stats/players/boxscores-traditional?Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,2005-02-09,CHI @ HOU,L,92,-13,2000s,Regular season,,0
2005,2004–05,2736,Luol Deng,0020400713,2005-02-08,CHI @ DAL,DAL,W,46.29333333333334,30,12,21,1,2,5,6,3,8,11,1,1,0,4,2,10,21.099999999999994,63.45177664974619,https://www.nba.com/stats/players/boxscores-traditional?Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,2005-02-08,CHI @ DAL,W,107,7,2000s,Regular season,,0
2005,2004–05,2732,Ben Gordon,0020400713,2005-02-08,CHI @ DAL,DAL,W,28.87,16,4,14,4,7,4,4,2,1,3,1,0,0,1,3,7,8.000000000000004,50.76142131979695,https://www.nba.com/stats/players/boxscores-traditional?Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,2005-02-08,CHI @ DAL,W,107,7,2000s,Regular season,,0
2005,2004–05,2768,Chris Duhon,0020400713,2005-02-08,CHI @ DAL,DAL,W,25.363333333333333,5,1,4,1,3,2,2,0,7,7,5,1,0,0,1,0,8.8,51.229508196721305,https://www.nba.com/stats/players/boxscores-traditional?Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,2005-02-08,CHI @ DAL,W,107,7,2000s,Regular season,,0
2005,2004–05,2804,Andres Nocioni,0020400713,2005-02-08,CHI @ DAL,DAL,W,5.533333333333333,1,0,1,0,0,1,2,0,2,2,3,0,0,0,2,-3,1.7999999999999996,26.595744680851062,https://www.nba.com/stats/players/boxscores-traditional?Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,2005-02-08,CHI @ DAL,W,107,7,2000s,Regular season,,0
