season,player_id,player_name,gp,drives,drives_per_game,drive_fgm,drive_fga,drive_fg_pct,drive_shot_pct,drive_ftm,drive_fta,drive_points_residual,drive_pts,drive_passes,drive_pass_pct,drive_ast,drive_ast_pct,drive_ast_per_drive,drive_pf,drive_pf_pct
2016-17,203530,Joffrey Lauvergne,70,56,0.8,15,34,44.1,60.714285714285715,8,10,1,39,9,16.1,4,7.1,0.07142857142857142,5,8.9
2016-17,203487,Michael Carter-Williams,45,275,6.111111111111111,47,129,36.4,46.90909090909091,22,28,5,121,76,27.6,37,13.5,0.13454545454545455,14,5.1
2016-17,202703,Nikola Mirotic,70,122,1.7428571428571429,25,52,48.1,42.622950819672134,12,14,1,63,39,32.0,9,7.3999999999999995,0.07377049180327869,7,5.7
2016-17,1627835,Paul Zipser,44,100,2.272727272727273,15,38,39.5,38.0,7,10,2,39,35,35.0,11,11.0,0.11,5,5.0
2016-17,1626154,RJ Hunter,3,0,0.0,0,0,0.0,,0,0,0,0,0,0.0,0,0.0,,0,0.0
2016-17,200765,Rajon Rondo,69,580,8.405797101449275,82,189,43.4,32.58620689655172,11,16,2,177,237,40.9,84,14.499999999999998,0.14482758620689656,8,1.4000000000000001
2016-17,201577,Robin Lopez,81,57,0.7037037037037037,15,32,46.9,56.14035087719298,6,10,1,37,12,21.099999999999998,4,7.000000000000001,0.07017543859649122,5,8.799999999999999
2017-18,1628469,Antonio Blakeney,19,54,2.8421052631578947,9,31,28.999999999999996,57.407407407407405,3,6,1,22,12,22.2,7,13.0,0.12962962962962962,3,5.6000000000000005
2017-18,1626171,Bobby Portis Jr.,73,144,1.9726027397260273,51,99,51.5,68.75,17,28,4,123,15,10.4,4,2.8000000000000003,0.027777777777777776,14,9.700000000000001
2017-18,1626166,Cameron Payne,25,155,6.2,28,75,37.3,48.38709677419355,2,2,1,59,51,32.9,15,9.700000000000001,0.0967741935483871,1,0.6
2017-18,1626245,Cristiano Felicio,55,29,0.5272727272727272,9,14,64.3,48.275862068965516,3,4,1,22,5,17.2,2,6.9,0.06896551724137931,2,6.9
2017-18,1628021,David Nwaba,70,313,4.4714285714285715,47,147,32.0,46.96485623003195,36,54,7,137,80,25.6,21,6.7,0.0670926517571885,28,8.9
2017-18,1627756,Denzel Valentine,77,377,4.896103896103896,68,147,46.300000000000004,38.9920424403183,5,8,0,141,146,38.7,44,11.700000000000001,0.11671087533156499,4,1.0999999999999999
2017-18,204067,Jarell Eddie,3,0,0.0,0,0,0.0,,0,0,0,0,0,0.0,0,0.0,,0,0.0
2017-18,1626170,Jerian Grant,74,592,8.0,69,166,41.6,28.04054054054054,61,82,10,209,246,41.6,99,16.7,0.16722972972972974,41,6.9
2017-18,203200,Justin Holiday,72,242,3.361111111111111,23,92,25.0,38.01652892561984,20,24,3,69,94,38.800000000000004,24,9.9,0.09917355371900827,12,5.0
2017-18,1627739,Kris Dunn,52,636,12.23076923076923,119,283,42.0,44.496855345911946,45,58,4,287,202,31.8,69,10.8,0.10849056603773585,29,4.6
2017-18,1628374,Lauri Markkanen,68,244,3.588235294117647,65,141,46.1,57.78688524590164,19,26,6,155,43,17.599999999999998,12,4.9,0.04918032786885246,14,5.7
2017-18,203943,Noah Vonleh,54,70,1.2962962962962963,18,38,47.4,54.285714285714285,2,4,3,41,17,24.3,2,2.9000000000000004,0.02857142857142857,2,2.9000000000000004
2017-18,201600,Omer Asik,18,1,0.05555555555555555,0,1,0.0,100.0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0
2017-18,1627835,Paul Zipser,54,128,2.3703703703703702,18,46,39.1,35.9375,7,12,0,43,52,40.6,14,10.9,0.109375,6,4.7
2017-18,202347,Quincy Pondexter,23,20,0.8695652173913043,4,11,36.4,55.0,0,0,0,8,5,25.0,1,5.0,0.05,0,0.0
2017-18,201577,Robin Lopez,64,74,1.15625,20,44,45.5,59.45945945945946,1,2,1,42,12,16.2,5,6.800000000000001,0.06756756756756757,2,2.7
2017-18,1627853,Ryan Arcidiacono,24,24,1.0,3,5,60.0,20.833333333333332,1,2,0,7,9,37.5,6,25.0,0.25,1,4.2
2017-18,203930,Sean Kilpatrick,52,131,2.519230769230769,23,62,37.1,47.32824427480916,16,18,3,65,37,28.199999999999996,5,3.8,0.03816793893129771,9,6.9
2017-18,203897,Zach LaVine,24,209,8.708333333333334,47,109,43.1,52.15311004784689,27,40,5,126,60,28.7,10,4.8,0.04784688995215311,20,9.6
2018-19,1628469,Antonio Blakeney,57,277,4.859649122807017,76,163,46.6,58.84476534296029,28,44,-1,179,80,28.9,10,3.5999999999999996,0.036101083032490974,19,6.9
2018-19,1629102,Brandon Sampson,14,34,2.4285714285714284,9,18,50.0,52.94117647058823,3,4,0,21,8,23.5,2,5.8999999999999995,0.058823529411764705,2,5.8999999999999995
2018-19,1628990,Chandler Hutchison,44,136,3.090909090909091,27,68,39.7,50.0,4,8,0,58,50,36.8,9,6.6000000000000005,0.0661764705882353,4,2.9000000000000004
2018-19,1626245,Cristiano Felicio,60,19,0.31666666666666665,5,12,41.699999999999996,63.1578947368421,7,8,0,17,0,0.0,0,0.0,0.0,4,21.099999999999998
2018-19,203960,JaKarr Sampson,4,37,9.25,8,18,44.4,48.648648648648646,12,14,0,28,10,27.0,0,0.0,0.0,7,18.9
2018-19,1627739,Kris Dunn,45,525,11.666666666666666,110,251,43.8,47.80952380952381,26,32,3,249,214,40.8,58,11.0,0.11047619047619048,16,3.0
2018-19,1628374,Lauri Markkanen,51,307,6.019607843137255,85,182,46.7,59.28338762214984,39,49,1,210,67,21.8,9,2.9000000000000004,0.029315960912052116,25,8.1
2018-19,203490,Otto Porter Jr.,55,166,3.018181818181818,47,90,52.2,54.21686746987952,17,21,2,113,55,33.1,16,9.6,0.0963855421686747,9,5.4
2018-19,1628959,Rawle Alkins,10,34,3.4,4,12,33.300000000000004,35.294117647058826,3,7,0,11,17,50.0,5,14.7,0.14705882352941177,3,8.799999999999999
2018-19,201577,Robin Lopez,73,58,0.7945205479452054,22,38,57.9,65.51724137931035,8,9,1,53,11,19.0,2,3.4000000000000004,0.034482758620689655,4,6.9
2018-19,1627853,Ryan Arcidiacono,80,417,5.2125,66,132,50.0,31.654676258992804,44,48,2,178,236,56.599999999999994,61,14.6,0.14628297362110312,23,5.5
2018-19,1627885,Shaquille Harrison,72,486,6.75,94,208,45.2,42.79835390946502,43,58,3,234,209,43.0,52,10.7,0.10699588477366255,28,5.800000000000001
2018-19,1627789,Timothe Luwawu-Cabarrot,50,87,1.74,17,43,39.5,49.42528735632184,10,11,2,46,32,36.8,7,8.0,0.08045977011494253,5,5.7
2018-19,1627755,Tyler Ulis,1,0,0.0,0,0,0.0,,0,0,0,0,0,0.0,0,0.0,,0,0.0
2018-19,1627215,Walt Lemon Jr.,6,106,17.666666666666668,21,50,42.0,47.16981132075472,6,8,0,48,45,42.5,9,8.5,0.08490566037735849,3,2.8000000000000003
2018-19,1627782,Wayne Selden,75,330,4.4,67,158,42.4,47.878787878787875,32,38,3,169,118,35.8,27,8.200000000000001,0.08181818181818182,18,5.5
2018-19,1628976,Wendell Carter Jr.,43,15,0.3488372093023256,4,9,44.4,60.0,4,4,2,14,3,20.0,1,6.7,0.06666666666666667,2,13.3
2018-19,203897,Zach LaVine,62,841,13.564516129032258,207,417,49.6,49.58382877526754,160,197,16,590,247,29.4,52,6.2,0.06183115338882283,95,11.3
2019-20,1629690,Adam Mokoka,11,12,1.0909090909090908,4,7,57.099999999999994,58.333333333333336,0,0,0,8,4,33.300000000000004,1,8.3,0.08333333333333333,0,0.0
2019-20,1628990,Chandler Hutchison,28,158,5.642857142857143,33,74,44.6,46.835443037974684,23,41,1,90,52,32.9,12,7.6,0.0759493670886076,20,12.7
2019-20,1629632,Coby White,65,456,7.015384615384615,96,230,41.699999999999996,50.43859649122807,43,57,6,241,158,34.599999999999994,33,7.199999999999999,0.07236842105263158,29,6.4
2019-20,1626245,Cristiano Felicio,22,5,0.22727272727272727,0,2,0.0,40.0,1,2,0,1,2,40.0,1,20.0,0.2,1,20.0
2019-20,1629655,Daniel Gafford,43,8,0.18604651162790697,4,5,80.0,62.5,0,0,0,8,2,25.0,0,0.0,0.0,0,0.0
2019-20,1627756,Denzel Valentine,36,97,2.6944444444444446,23,54,42.6,55.670103092783506,3,4,1,50,34,35.099999999999994,6,6.2,0.061855670103092786,2,2.1
2019-20,1627739,Kris Dunn,51,355,6.96078431372549,69,146,47.3,41.12676056338028,17,25,4,159,165,46.5,35,9.9,0.09859154929577464,12,3.4000000000000004
2019-20,1628374,Lauri Markkanen,50,207,4.14,43,105,41.0,50.72463768115942,35,39,3,124,52,25.1,5,2.4,0.024154589371980676,19,9.2
2019-20,1628436,Luke Kornet,36,15,0.4166666666666667,3,3,100.0,20.0,0,0,0,6,10,66.7,0,0.0,0.0,0,0.0
2019-20,1629622,Max Strus,2,0,0.0,0,0,0.0,,0,0,0,0,0,0.0,0,0.0,,0,0.0
2019-20,203490,Otto Porter Jr.,14,64,4.571428571428571,21,40,52.5,62.5,4,6,2,48,16,25.0,5,7.8,0.078125,3,4.7
2019-20,1627853,Ryan Arcidiacono,58,191,3.293103448275862,16,46,34.8,24.083769633507853,3,8,0,35,118,61.8,22,11.5,0.11518324607329843,4,2.1
2019-20,1627885,Shaquille Harrison,43,145,3.372093023255814,25,63,39.7,43.44827586206897,16,20,2,68,66,45.5,14,9.700000000000001,0.09655172413793103,11,7.6
2019-20,201152,Thaddeus Young,64,234,3.65625,46,124,37.1,52.99145299145299,8,14,2,102,75,32.1,15,6.4,0.0641025641025641,8,3.4000000000000004
2019-20,203107,Tomas Satoransky,65,666,10.246153846153845,96,211,45.5,31.68168168168168,38,42,5,235,377,56.599999999999994,77,11.600000000000001,0.11561561561561562,21,3.2
2019-20,1628976,Wendell Carter Jr.,43,27,0.627906976744186,8,15,53.300000000000004,55.55555555555556,6,8,3,25,5,18.5,1,3.6999999999999997,0.037037037037037035,4,14.799999999999999
2019-20,203897,Zach LaVine,60,748,12.466666666666667,169,372,45.4,49.73262032085562,122,151,18,478,225,30.099999999999998,51,6.800000000000001,0.06818181818181818,75,10.0
2020-21,1629690,Adam Mokoka,14,5,0.35714285714285715,1,3,33.300000000000004,60.0,0,0,0,2,1,20.0,1,20.0,0.2,0,0.0
2020-21,202329,Al-Farouq Aminu,23,38,1.6521739130434783,7,13,53.800000000000004,34.21052631578947,2,2,1,17,16,42.1,3,7.9,0.07894736842105263,1,2.6
2020-21,1629632,Coby White,69,646,9.36231884057971,125,269,46.5,41.640866873065015,56,60,9,315,281,43.5,75,11.600000000000001,0.11609907120743033,30,4.6
2020-21,1626245,Cristiano Felicio,18,2,0.1111111111111111,0,0,0.0,0.0,1,2,0,1,1,50.0,0,0.0,0.0,1,50.0
2020-21,1628464,Daniel Theis,65,35,0.5384615384615384,7,16,43.8,45.714285714285715,4,8,1,19,8,22.900000000000002,2,5.7,0.05714285714285714,4,11.4
2020-21,1627756,Denzel Valentine,62,194,3.129032258064516,30,91,33.0,46.90721649484536,4,4,0,64,85,43.8,23,11.899999999999999,0.11855670103092783,2,1.0
2020-21,1629653,Devon Dotson,11,19,1.7272727272727273,6,8,75.0,42.10526315789474,0,0,0,12,10,52.6,2,10.5,0.10526315789473684,0,0.0
