season,player_id,player_name,team_id,gp,rim_fgm,rim_fga,blocks,rim_fga_per_game,rim_fg_pct,league_rim_fg_pct,pct_vs_league,rim_makes_saved,minutes,possessions,rim_fga_per_100,rim_points_saved,rim_points_saved_per_100,volume_rank,featured
2021-22,1626174,Christian Wood,1610612745,68,236,374,65,5.5,63.1016,64.9405,-1.8389,6.8775,2094.4,4443,8.4177,13.7549,0.3096,13.0,False
2021-22,203991,Clint Capela,1610612737,74,264,448,93,6.0541,58.9286,64.9405,-6.0119,26.9334,2042.4,4257,10.5238,53.8669,1.2654,7.0,False
2021-22,1629647,Darius Bazley,1610612760,69,185,291,70,4.2174,63.5739,64.9405,-1.3666,3.9768,1925.1,4038,7.2065,7.9537,0.197,29.0,False
2021-22,1627734,Domantas Sabonis,1610612758,62,202,324,27,5.2258,62.3457,64.9405,-2.5948,8.4072,2132.8,4420,7.3303,16.8144,0.3804,20.0,False
2021-22,203939,Dwight Powell,1610612742,82,197,314,39,3.8293,62.7389,64.9405,-2.2016,6.9132,1795.8,3556,8.8301,13.8263,0.3888,22.0,False
2021-22,1630596,Evan Mobley,1610612739,69,274,487,115,7.058,56.2628,64.9405,-8.6777,42.2602,2332.2,4741,10.2721,84.5204,1.7828,5.0,False
2021-22,203507,Giannis Antetokounmpo,1610612749,67,169,320,91,4.7761,52.8125,64.9405,-12.128,38.8096,2204.3,4743,6.7468,77.6192,1.6365,21.0,False
2021-22,1630191,Isaiah Stewart,1610612765,70,190,366,76,5.2286,51.9126,64.9405,-13.0279,47.6822,1817.6,3723,9.8308,95.3644,2.5615,15.0,False
2021-22,1627826,Ivica Zubac,1610612746,76,219,387,77,5.0921,56.5891,64.9405,-8.3513,32.3197,1854.4,3786,10.2219,64.6394,1.7073,10.0,False
2021-22,1627751,Jakob Poeltl,1610612759,68,313,571,118,8.3971,54.8161,64.9405,-10.1244,57.8102,1972.0,4119,13.8626,115.6205,2.807,3.0,False
2021-22,1628991,Jaren Jackson Jr.,1610612763,77,181,367,175,4.7662,49.3188,64.9405,-15.6217,57.3316,2129.4,4518,8.1231,114.6632,2.5379,14.0,False
2021-22,1628386,Jarrett Allen,1610612739,56,178,350,75,6.25,50.8571,64.9405,-14.0834,49.2917,1808.8,3674,9.5264,98.5835,2.6833,17.0,False
