game_id,assister_id,scorer_id,scorer_name,shot_value,season_end_year,season
0021900175,1629632,1628976,Carter Jr.,2,2020,2019-20
0021900175,1628990,203107,Satoransky,3,2020,2019-20
0021900175,1628976,203897,LaVine,2,2020,2019-20
0021900175,203897,1628990,Hutchison,2,2020,2019-20
0021900175,201152,1627853,Arcidiacono,3,2020,2019-20
0021900175,1627739,1628374,Markkanen,2,2020,2019-20
0021900175,1628374,1628976,Carter Jr.,2,2020,2019-20
0021900175,203107,203897,LaVine,3,2020,2019-20
0021900175,203107,203897,LaVine,3,2020,2019-20
0021900175,1629632,1628374,Markkanen,3,2020,2019-20
0021900192,1628990,203107,Satoransky,3,2020,2019-20
0021900192,203107,1628976,Carter Jr.,2,2020,2019-20
0021900192,203897,1628976,Carter Jr.,2,2020,2019-20
0021900192,1629632,1629655,Gafford,2,2020,2019-20
0021900192,1627739,1627853,Arcidiacono,3,2020,2019-20
0021900192,1629632,1627739,Dunn,2,2020,2019-20
0021900192,201152,1629655,Gafford,2,2020,2019-20
0021900192,1627739,1629632,White,2,2020,2019-20
0021900192,201152,1627853,Arcidiacono,3,2020,2019-20
0021900192,1627853,1629655,Gafford,2,2020,2019-20
0021900192,1627739,201152,Young,3,2020,2019-20
0021900192,1627739,203897,LaVine,3,2020,2019-20
0021900192,1627739,1628990,Hutchison,3,2020,2019-20
0021900192,1627739,1628374,Markkanen,2,2020,2019-20
0021900192,203897,1629655,Gafford,2,2020,2019-20
0021900192,203897,1629655,Gafford,2,2020,2019-20
0021900192,203897,1629655,Gafford,2,2020,2019-20
0021900192,1628990,1628976,Carter Jr.,2,2020,2019-20
0021900192,1629655,1629632,White,2,2020,2019-20
0021900192,1627853,1629655,Gafford,2,2020,2019-20
0021900192,201152,1627853,Arcidiacono,3,2020,2019-20
0021900192,1627739,201152,Young,2,2020,2019-20
0021900192,1629632,1627853,Arcidiacono,3,2020,2019-20
0021900192,1627739,1629632,White,3,2020,2019-20
0021900192,1627739,1629632,White,3,2020,2019-20
0021900209,203107,203897,LaVine,3,2020,2019-20
0021900209,203107,1628374,Markkanen,2,2020,2019-20
0021900209,203897,1628374,Markkanen,3,2020,2019-20
0021900209,203107,1628374,Markkanen,2,2020,2019-20
0021900209,1627885,203897,LaVine,2,2020,2019-20
0021900209,203107,1627885,Harrison,3,2020,2019-20
0021900209,1627739,1629632,White,3,2020,2019-20
0021900209,1627739,201152,Young,2,2020,2019-20
0021900209,1628976,1627853,Arcidiacono,3,2020,2019-20
0021900209,1627739,1627853,Arcidiacono,3,2020,2019-20
0021900209,203107,1627885,Harrison,2,2020,2019-20
0021900209,203107,1627885,Harrison,2,2020,2019-20
0021900209,203897,1628374,Markkanen,3,2020,2019-20
0021900209,203897,1628374,Markkanen,2,2020,2019-20
0021900209,203107,1627885,Harrison,2,2020,2019-20
0021900209,1627885,203107,Satoransky,3,2020,2019-20
0021900209,203897,203107,Satoransky,3,2020,2019-20
0021900209,1629632,1628976,Carter Jr.,2,2020,2019-20
0021900209,1627739,1629632,White,3,2020,2019-20
0021900209,1627739,201152,Young,2,2020,2019-20
0021900209,1627853,201152,Young,3,2020,2019-20
0021900209,1627853,1627739,Dunn,2,2020,2019-20
0021900209,1627885,203107,Satoransky,2,2020,2019-20
0021900209,1627885,1628374,Markkanen,3,2020,2019-20
0021900209,1627885,203107,Satoransky,3,2020,2019-20
0021900219,1627885,1628374,Markkanen,2,2020,2019-20
0021900219,203107,1627853,Arcidiacono,3,2020,2019-20
0021900219,1627885,1628976,Carter Jr.,2,2020,2019-20
0021900219,1627739,201152,Young,3,2020,2019-20
0021900219,1627739,203897,LaVine,2,2020,2019-20
0021900219,201152,1628374,Markkanen,2,2020,2019-20
0021900219,201152,1627739,Dunn,2,2020,2019-20
0021900219,203107,1627885,Harrison,2,2020,2019-20
0021900219,1628374,203897,LaVine,2,2020,2019-20
0021900219,203107,1629632,White,2,2020,2019-20
0021900219,203107,201152,Young,2,2020,2019-20
0021900219,203107,1627853,Arcidiacono,2,2020,2019-20
0021900219,1628976,203107,Satoransky,2,2020,2019-20
0021900219,1627739,203897,LaVine,2,2020,2019-20
0021900219,1627739,1629632,White,3,2020,2019-20
0021900219,203897,1629632,White,3,2020,2019-20
0021900219,1627739,201152,Young,2,2020,2019-20
0021900219,1629632,1627739,Dunn,3,2020,2019-20
0021900219,201152,1627853,Arcidiacono,2,2020,2019-20
0021900219,203897,1627739,Dunn,3,2020,2019-20
0021900219,1627756,1629622,Strus,2,2020,2019-20
0021900219,1627885,1627853,Arcidiacono,3,2020,2019-20
0021900219,1627885,1627756,Valentine,3,2020,2019-20
0021900226,1627885,203107,Satoransky,3,2020,2019-20
0021900226,1627885,1628976,Carter Jr.,2,2020,2019-20
0021900226,203107,203897,LaVine,3,2020,2019-20
0021900226,1628976,203897,LaVine,3,2020,2019-20
0021900226,1628374,1628976,Carter Jr.,3,2020,2019-20
0021900226,1627739,203897,LaVine,3,2020,2019-20
0021900226,201152,1629632,White,2,2020,2019-20
0021900226,201152,1629632,White,3,2020,2019-20
0021900226,201152,1629632,White,2,2020,2019-20
0021900226,201152,1627739,Dunn,2,2020,2019-20
0021900226,1629632,1628976,Carter Jr.,2,2020,2019-20
0021900226,1627853,201152,Young,3,2020,2019-20
0021900226,203107,1628374,Markkanen,3,2020,2019-20
0021900226,203107,1628976,Carter Jr.,2,2020,2019-20
0021900226,203107,1629632,White,2,2020,2019-20
0021900226,203107,203897,LaVine,3,2020,2019-20
0021900226,1628374,203107,Satoransky,2,2020,2019-20
0021900226,203107,1629632,White,3,2020,2019-20
0021900226,1628976,203897,LaVine,3,2020,2019-20
0021900226,1627885,203897,LaVine,3,2020,2019-20
0021900226,203107,203897,LaVine,2,2020,2019-20
0021900226,1627739,203897,LaVine,3,2020,2019-20
0021900226,1629632,203897,LaVine,2,2020,2019-20
0021900226,203107,203897,LaVine,3,2020,2019-20
0021900226,1628976,1629632,White,3,2020,2019-20
0021900226,1627853,1629632,White,2,2020,2019-20
0021900226,1629632,203107,Satoransky,3,2020,2019-20
0021900247,203107,203897,LaVine,3,2020,2019-20
0021900247,203107,1628374,Markkanen,3,2020,2019-20
0021900247,203107,203897,LaVine,2,2020,2019-20
0021900247,203897,1629632,White,3,2020,2019-20
0021900247,203897,201152,Young,3,2020,2019-20
0021900247,201152,1627739,Dunn,2,2020,2019-20
0021900247,201152,1627739,Dunn,2,2020,2019-20
0021900247,1628374,203897,LaVine,2,2020,2019-20
0021900247,203897,1627885,Harrison,3,2020,2019-20
0021900247,1627885,1628976,Carter Jr.,2,2020,2019-20
0021900247,203897,1628374,Markkanen,3,2020,2019-20
0021900247,203107,1627756,Valentine,3,2020,2019-20
0021900247,1628374,1627756,Valentine,2,2020,2019-20
0021900247,203897,203107,Satoransky,3,2020,2019-20
0021900247,1628976,203897,LaVine,2,2020,2019-20
0021900247,1627853,1628976,Carter Jr.,2,2020,2019-20
0021900247,1627739,1629655,Gafford,2,2020,2019-20
0021900247,1628374,1628976,Carter Jr.,2,2020,2019-20
0021900247,203107,1627756,Valentine,2,2020,2019-20
0021900247,1629632,1629655,Gafford,2,2020,2019-20
0021900247,1627756,1628990,Hutchison,2,2020,2019-20
0021900247,1627885,1629632,White,2,2020,2019-20
0021900247,1629632,1627756,Valentine,2,2020,2019-20
0021900247,1627885,1628990,Hutchison,3,2020,2019-20
0021900266,203107,203897,LaVine,3,2020,2019-20
0021900266,203107,1628374,Markkanen,3,2020,2019-20
0021900266,203107,203897,LaVine,2,2020,2019-20
0021900266,203897,203107,Satoransky,3,2020,2019-20
0021900266,201152,1629655,Gafford,2,2020,2019-20
0021900266,1627853,201152,Young,3,2020,2019-20
0021900266,203107,203897,LaVine,3,2020,2019-20
0021900266,203897,1628374,Markkanen,2,2020,2019-20
0021900266,203107,203897,LaVine,2,2020,2019-20
0021900266,1627739,203897,LaVine,3,2020,2019-20
0021900266,203107,203897,LaVine,3,2020,2019-20
0021900266,203897,203107,Satoransky,3,2020,2019-20
0021900266,1628374,1627885,Harrison,3,2020,2019-20
0021900266,1628374,1627885,Harrison,2,2020,2019-20
0021900266,203897,203107,Satoransky,2,2020,2019-20
0021900266,203107,203897,LaVine,2,2020,2019-20
0021900266,203897,201152,Young,2,2020,2019-20
0021900266,1627739,203897,LaVine,2,2020,2019-20
0021900266,1627739,203897,LaVine,2,2020,2019-20
0021900266,1628374,203107,Satoransky,3,2020,2019-20
0021900278,1628374,1628976,Carter Jr.,2,2020,2019-20
0021900278,1628976,203107,Satoransky,3,2020,2019-20
0021900278,1628374,203107,Satoransky,2,2020,2019-20
0021900278,203107,1627739,Dunn,2,2020,2019-20
0021900278,203897,1628976,Carter Jr.,2,2020,2019-20
0021900278,1627853,201152,Young,3,2020,2019-20
0021900278,1627756,1629655,Gafford,2,2020,2019-20
0021900278,203107,203897,LaVine,3,2020,2019-20
0021900278,203107,1627739,Dunn,3,2020,2019-20
0021900278,1627739,1628976,Carter Jr.,2,2020,2019-20
0021900278,1628374,203897,LaVine,2,2020,2019-20
0021900278,1627739,203107,Satoransky,3,2020,2019-20
0021900278,203107,1628374,Markkanen,3,2020,2019-20
0021900278,203897,1629632,White,3,2020,2019-20
0021900278,203107,1628374,Markkanen,2,2020,2019-20
0021900278,1629632,203897,LaVine,3,2020,2019-20
0021900278,1627853,1629632,White,3,2020,2019-20
0021900278,201152,1627853,Arcidiacono,3,2020,2019-20
0021900278,203897,1628976,Carter Jr.,2,2020,2019-20
0021900278,203107,1628976,Carter Jr.,2,2020,2019-20
0021900278,203897,1628374,Markkanen,3,2020,2019-20
0021900278,203107,1627739,Dunn,2,2020,2019-20
0021900278,203897,1628976,Carter Jr.,2,2020,2019-20
0021900278,203107,203897,LaVine,3,2020,2019-20
0021900298,1627739,1628374,Markkanen,3,2020,2019-20
0021900298,1628374,203897,LaVine,3,2020,2019-20
0021900298,1629632,201152,Young,2,2020,2019-20
0021900298,1629632,201152,Young,3,2020,2019-20
0021900298,201152,1629655,Gafford,2,2020,2019-20
0021900298,1629632,1629655,Gafford,2,2020,2019-20
0021900298,1627853,1627756,Valentine,3,2020,2019-20
0021900298,203897,1629632,White,3,2020,2019-20
0021900298,1627739,1628374,Markkanen,3,2020,2019-20
