PLAYER_ID,PLAYER_NAME,GP,MIN,STL,BLK
2230,Maurice Evans,79,1317.205,34,17
2246,Mehmet Okur,73,2148.925,38,81
1897,Metta World Peace,77,2604.7716666666665,106,21
201563,Michael Beasley,78,2328.13,80,49
714,Michael Finley,46,709.045,10,6
2072,Michael Redd,18,492.07,19,2
2554,Mickael Pietrus,75,1686.9883333333332,53,31
1710,Mike Bibby,80,2194.5433333333335,67,3
201144,Mike Conley,80,2568.4983333333334,109,12
2399,Mike Dunleavy,67,1485.9416666666666,38,15
200839,Mike Harris,13,95.91666666666667,5,1
2229,Mike James,4,45.7,3,0
2034,Mike Miller,54,1804.8966666666668,39,12
2366,Mike Wilks,4,59.06666666666667,0,0
1630,Mikki Moore,23,405.735,5,13
2590,Mo Williams,69,2358.9583333333335,70,21
101145,Monta Ellis,64,2646.6133333333332,143,25
2050,Morris Peterson,46,972.5533333333333,25,5
101126,Nate Robinson,56,1115.8516666666667,49,5
201605,Nathan Jawai,39,411.97,10,9
1737,Nazr Mohammed,58,984.21,15,43
2420,Nenad Krstic,76,1740.5283333333334,32,45
2403,Nene,82,2754.5866666666666,115,82
2555,Nick Collison,75,1557.1516666666666,37,48
201156,Nick Young,74,1421.3433333333332,28,8
201587,Nicolas Batum,37,917.6216666666667,24,25
201564,O.J. Mayo,82,3113.3716666666664,98,17
200762,Oleksiy Pecherov,44,447.2133333333333,9,14
201802,Oliver Lafayette,1,21.53,0,0
201956,Omri Casspi,77,1931.0933333333332,54,17
201629,Othello Hunter,7,32.97833333333333,0,1
201785,Othyus Jeffers,14,72.515,4,0
200753,Patrick O'Bryant,11,50.735,2,4
201988,Patty Mills,10,37.733333333333334,0,0
2200,Pau Gasol,65,2403.3133333333335,37,113
200781,Paul Davis,2,7.983333333333333,0,1
200794,Paul Millsap,82,2276.965,64,99
1718,Paul Pierce,71,2410.7466666666664,84,31
978,Peja Stojakovic,62,1946.9183333333333,48,5
200822,Pops Mensah-Bonsu,20,119.68,4,9
2056,Primoz Brezec,21,95.41666666666667,1,3
2047,Quentin Richardson,76,2081.7283333333335,70,18
2624,Quinton Ross,52,562.1516666666666,13,6
1747,Rafer Alston,52,1420.47,50,10
1952,Raja Bell,6,180.59,4,2
200765,Rajon Rondo,81,2963.06,189,11
201196,Ramon Sessions,82,1731.955,55,5
201043,Randolph Morris,28,124.415,5,3
200751,Randy Foye,70,1667.1866666666667,33,10
1740,Rashard Lewis,72,2368.596666666667,78,28
739,Rasheed Wallace,79,1780.3816666666667,80,70
1725,Rasho Nesterovic,42,413.37166666666667,10,17
2446,Rasual Butler,82,2702.27,36,68
951,Ray Allen,80,2819.036666666667,64,25
101109,Raymond Felton,80,2642.84,123,22
2501,Reggie Evans,28,310.68,14,4
202130,Reggie Williams,24,781.4866666666667,23,6
200764,Renaldo Balkman,13,90.59666666666666,8,2
1888,Richard Hamilton,46,1552.415,30,3
2210,Richard Jefferson,81,2520.305,45,40
1729,Ricky Davis,36,498.82666666666665,11,3
201577,Robin Lopez,51,986.0416666666666,10,53
200760,Rodney Carney,68,857.015,25,20
201155,Rodney Stuckey,73,2498.6133333333332,101,12
201958,Rodrigue Beaubois,56,699.9133333333333,29,12
2427,Roger Mason Jr.,79,1514.5833333333333,30,14
101146,Roko Ukic,13,96.94166666666666,1,0
200758,Ronnie Brewer,58,1741.915,91,15
101179,Ronnie Price,60,805.9216666666666,40,13
101142,Ronny Turiaf,42,871.8183333333334,23,54
201579,Roy Hibbert,81,2034.735,30,131
2767,Royal Ivey,44,326.78333333333336,19,2
201164,Rudy Fernandez,62,1440.84,62,11
200752,Rudy Gay,80,3174.755,118,64
201566,Russell Westbrook,82,2812.5833333333335,108,34
201583,Ryan Anderson,63,910.485,25,14
1763,Ryan Bowen,1,7.9,1,0
101155,Ryan Gomes,76,2210.088333333333,62,16
200797,Ryan Hollins,73,1223.24,19,38
201970,Sam Young,80,1321.0466666666666,34,20
2223,Samuel Dalembert,82,2123.7083333333335,42,151
2562,Sasha Pavlovic,71,876.8,23,6
2756,Sasha Vujacic,67,574.86,20,4
1752,Sean Marks,14,74.605,0,3
101118,Sean May,37,331.18666666666667,12,7
201157,Sean Williams,20,227.39833333333334,8,19
2742,Sebastian Telfair,43,659.2416666666667,24,5
201586,Serge Ibaka,73,1323.3933333333334,25,97
200771,Sergio Rodriguez,66,1047.7266666666667,50,5
2203,Shane Battier,67,2168.4533333333334,53,76
200769,Shannon Brown,82,1700.01,57,31
406,Shaquille O'Neal,53,1240.3866666666668,15,62
2733,Shaun Livingston,36,795.4133333333333,17,11
101183,Shavlik Randolph,6,52.98,1,1
1890,Shawn Marion,75,2385.0116666666668,69,61
200749,Shelden Williams,54,597.305,13,21
200780,Solomon Jones,52,674.975,14,37
201603,Sonny Weems,69,1367.97,39,25
201150,Spencer Hawes,72,1904.0816666666667,32,83
201939,Stephen Curry,80,2896.213333333333,152,19
101211,Stephen Graham,70,804.265,20,10
1536,Stephen Jackson,81,3128.568333333333,132,43
2581,Steve Blake,80,2158.79,58,6
959,Steve Nash,81,2659.99,42,12
200779,Steve Novak,54,361.9316666666667,7,2
2212,Steven Hunter,21,157.975,1,10
202178,Sundiata Gaines,32,217.115,12,0
2551,T.J. Ford,47,1188.935,44,11
201959,Taj Gibson,82,2203.5816666666665,50,104
201981,Taylor Griffin,8,32.48833333333334,0,2
2419,Tayshaun Prince,49,1663.735,34,22
201944,Terrence Williams,78,1763.5216666666668,43,10
200757,Thabo Sefolosha,82,2348.4483333333333,97,46
201152,Thaddeus Young,67,2145.4183333333335,81,15
689,Theo Ratliff,49,806.1766666666666,12,61
1495,Tim Duncan,78,2438.1866666666665,45,117
1501,Tim Thomas,18,285.215,10,2
201962,Toney Douglas,56,1086.9766666666667,42,3
2754,Tony Allen,54,888.705,59,19
1499,Tony Battie,15,133.745,4,2
2225,Tony Parker,56,1727.9866666666667,29,8
1503,Tracy McGrady,30,672.4683333333334,15,14
101143,Travis Diener,9,51.20333333333333,4,0
2566,Travis Outlaw,34,730.0733333333334,18,17
2239,Trenton Hassell,52,1106.2616666666668,17,9
2772,Trevor Ariza,72,2628.883333333333,126,40
201821,Trey Gilder,2,5.12,1,0
2211,Troy Murphy,72,2344.2883333333334,72,34
201951,Ty Lawson,65,1317.4366666666667,48,2
201946,Tyler Hansbrough,29,510.79833333333335,17,8
201936,Tyreke Evans,72,2676.58,109,26
200748,Tyrus Thomas,54,1220.345,63,85
2199,Tyson Chandler,51,1163.07,17,55
2617,Udonis Haslem,78,2176.6433333333334,30,23
1713,Vince Carter,75,2310.4583333333335,53,18
2209,Vladimir Radmanovic,41,891.085,29,7
201961,Wayne Ellington,76,1384.2416666666666,20,5
202083,Wesley Matthews,82,2024.5716666666667,64,15
101198,Will Bynum,63,1666.4833333333333,55,7
101215,Will Conroy,5,35.86666666666667,0,0
2584,Willie Green,73,1553.4266666666667,32,11
201163,Wilson Chandler,65,2319.923333333333,46,49
200821,Yakhouba Diawara,6,44.43333333333333,1,0
201146,Yi Jianlian,52,1654.5616666666667,37,52
2216,Zach Randolph,81,3050.8933333333334,80,34
2585,Zaza Pachulia,78,1088.8166666666666,37,31
980,Zydrunas Ilgauskas,64,1338.5166666666667,14,50
