PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
2669,2005-06,00,1610612740,NOK,26.0,27,7,489,56,139,0.403,13,36,0.361,17,23,0.739,40,75,115,12,10,12,24,54,142
2669,2005-06,00,0,TOT,26.0,36,7,524,61,149,0.409,13,36,0.361,18,27,0.667,40,82,122,14,12,12,28,61,153
2669,2006-07,00,1610612740,NOK,27.0,54,0,720,93,190,0.489,10,30,0.333,30,37,0.811,52,111,163,18,33,18,27,101,226
2669,2007-08,00,1610612756,PHX,28.0,6,0,53,7,14,0.5,1,2,0.5,0,0,0.0,5,8,13,3,0,1,2,10,15
2669,2007-08,00,1610612761,TOR,28.0,2,0,10,2,5,0.4,0,1,0.0,2,2,1.0,0,1,1,1,0,0,3,1,6
2669,2007-08,00,0,TOT,28.0,8,0,63,9,19,0.474,1,3,0.333,2,2,1.0,5,9,14,4,0,1,5,11,21
2669,2008-09,00,1610612766,CHA,29.0,2,0,13,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0
2669,2008-09,00,1610612741,CHI,29.0,8,0,42,4,11,0.364,1,2,0.5,0,0,0.0,3,5,8,2,1,0,2,6,9
2669,2008-09,00,0,TOT,29.0,10,0,55,4,11,0.364,1,2,0.5,0,0,0.0,3,5,8,2,1,0,2,7,9
201151,2007-08,00,1610612737,ATL,23.0,56,6,865,95,237,0.401,7,34,0.206,38,48,0.792,12,45,57,113,29,0,56,73,235
201151,2008-09,00,1610612737,ATL,24.0,55,1,560,52,139,0.374,9,29,0.31,49,60,0.817,6,52,58,86,11,3,29,43,162
201151,2009-10,00,1610612744,GSW,25.0,5,0,66,9,14,0.643,1,3,0.333,12,15,0.8,0,2,2,7,6,0,2,5,31
201151,2009-10,00,1610612766,CHA,25.0,9,0,33,5,16,0.313,0,1,0.0,6,7,0.857,0,1,1,3,1,1,3,3,16
201151,2009-10,00,1610612741,CHI,25.0,12,1,135,21,45,0.467,4,12,0.333,20,27,0.741,3,11,14,16,4,0,12,8,66
201151,2009-10,00,0,TOT,25.0,26,1,234,35,75,0.467,5,16,0.313,38,49,0.776,3,14,17,26,11,1,17,16,113
201151,2010-11,00,1610612763,MEM,26.0,11,0,94,3,19,0.158,0,6,0.0,6,10,0.6,3,8,11,14,4,0,10,10,12
201151,2010-11,00,1610612744,GSW,26.0,40,0,632,78,167,0.467,6,30,0.2,41,54,0.759,9,43,52,70,28,0,33,51,203
201151,2010-11,00,0,TOT,26.0,51,0,726,81,186,0.435,6,36,0.167,47,64,0.734,12,51,63,84,32,0,43,61,215
2436,2002-03,00,1610612749,MIL,23.0,12,0,42,9,26,0.346,0,4,0.0,5,8,0.625,0,1,1,3,4,0,4,0,23
2436,2002-03,00,1610612760,SEA,23.0,2,0,20,2,5,0.4,0,1,0.0,0,0,0.0,0,3,3,2,0,0,4,0,4
2436,2002-03,00,0,TOT,23.0,14,0,62,11,31,0.355,0,5,0.0,5,8,0.625,0,4,4,5,4,0,8,0,27
2436,2003-04,00,1610612760,SEA,24.0,82,18,2021,389,915,0.425,67,229,0.293,168,235,0.715,45,159,204,205,81,28,149,158,1013
2436,2004-05,00,1610612760,SEA,25.0,49,6,880,131,363,0.361,24,95,0.253,59,80,0.738,15,83,98,65,30,11,57,59,345
2436,2005-06,00,1610612760,SEA,26.0,48,2,1085,179,451,0.397,17,76,0.224,99,138,0.717,18,68,86,120,30,4,79,69,474
2436,2005-06,00,1610612739,CLE,26.0,28,25,1027,142,317,0.448,20,65,0.308,73,104,0.702,15,52,67,77,38,7,56,64,377
2436,2005-06,00,0,TOT,26.0,76,27,2112,321,768,0.418,37,141,0.262,172,242,0.711,33,120,153,197,68,11,135,133,851
2436,2006-07,00,1610612765,DET,27.0,69,18,1477,177,438,0.404,24,83,0.289,87,120,0.725,26,87,113,187,49,13,90,96,465
2436,2007-08,00,1610612765,DET,28.0,19,2,347,57,139,0.41,6,27,0.222,22,37,0.595,13,23,36,64,13,1,31,19,142
2436,2007-08,00,1610612754,IND,28.0,23,17,527,97,228,0.425,14,36,0.389,46,61,0.754,10,37,47,80,25,3,53,31,254
2436,2007-08,00,0,TOT,28.0,42,19,873,154,367,0.42,20,63,0.317,68,98,0.694,23,60,83,144,38,4,84,50,396
2436,2008-09,00,1610612737,ATL,29.0,80,2,1975,355,795,0.447,87,242,0.36,177,233,0.76,22,146,168,158,88,17,128,173,974
2436,2009-10,00,1610612766,CHA,30.0,46,1,993,160,411,0.389,41,131,0.313,93,131,0.71,15,83,98,84,28,12,65,77,454
2436,2009-10,00,1610612741,CHI,30.0,29,1,680,108,272,0.397,28,90,0.311,48,63,0.762,13,72,85,51,18,4,26,49,292
2436,2009-10,00,0,TOT,30.0,75,2,1673,268,683,0.392,69,221,0.312,141,194,0.727,28,155,183,135,46,16,91,126,746
201949,2009-10,00,1610612741,CHI,23.0,65,11,757,95,210,0.452,15,46,0.326,51,70,0.729,34,94,128,48,21,43,62,126,256
201949,2010-11,00,1610612741,CHI,24.0,13,0,123,17,41,0.415,2,9,0.222,6,13,0.462,6,18,24,14,8,9,18,25,42
201949,2010-11,00,1610612761,TOR,24.0,25,25,699,91,196,0.464,6,25,0.24,41,58,0.707,31,87,118,75,25,28,46,70,229
201949,2010-11,00,0,TOT,24.0,38,25,821,108,237,0.456,8,34,0.235,47,71,0.662,37,105,142,89,33,37,64,95,271
201949,2011-12,00,1610612761,TOR,25.0,62,40,1561,233,518,0.45,19,60,0.317,81,115,0.704,74,218,292,122,71,84,101,177,566
201949,2012-13,00,1610612758,SAC,26.0,54,11,878,117,283,0.413,2,21,0.095,40,67,0.597,49,96,145,58,41,50,68,99,276
201949,2013-14,00,1610612763,MEM,27.0,52,4,956,143,308,0.464,22,87,0.253,76,90,0.844,60,106,166,111,42,57,66,102,384
201949,2014-15,00,1610612761,TOR,28.0,70,17,1370,238,404,0.589,11,51,0.216,67,102,0.657,61,196,257,95,54,70,79,155,554
201949,2015-16,00,1610612761,TOR,29.0,57,32,926,114,240,0.475,20,66,0.303,39,68,0.574,28,98,126,67,29,33,54,84,287
201949,2016-17,00,1610612748,MIA,30.0,76,5,2085,368,769,0.479,87,256,0.34,152,215,0.707,66,310,376,276,76,86,171,197,975
201949,2017-18,00,1610612748,MIA,31.0,73,41,1943,309,614,0.503,57,185,0.308,113,162,0.698,61,297,358,280,70,51,141,192,788
201949,2018-19,00,1610612748,MIA,32.0,55,33,1164,164,379,0.433,50,149,0.336,50,70,0.714,22,154,176,135,35,27,74,114,428
201949,2019-20,00,1610612748,MIA,33.0,18,0,281,39,87,0.448,16,45,0.356,8,14,0.571,8,44,52,21,6,13,15,34,102
201949,2019-20,00,1610612750,MIN,33.0,14,1,338,64,128,0.5,17,46,0.37,23,34,0.676,17,49,66,53,19,19,33,46,168
201949,2019-20,00,0,TOT,33.0,32,1,620,103,215,0.479,33,91,0.363,31,48,0.646,25,93,118,74,25,32,48,80,270
201949,2020-21,00,1610612742,DAL,34.0,29,1,504,67,145,0.462,15,60,0.25,17,29,0.586,14,72,86,50,24,23,27,59,166
201949,2020-21,00,1610612740,NOP,34.0,22,11,539,79,182,0.434,16,60,0.267,28,47,0.596,18,73,91,48,18,19,28,61,202
201949,2020-21,00,0,TOT,34.0,51,12,1043,146,327,0.446,31,120,0.258,45,76,0.592,32,145,177,98,42,42,55,120,368
201949,2021-22,00,1610612751,BKN,35.0,62,10,1191,144,307,0.469,23,85,0.271,29,55,0.527,51,164,215,130,30,34,48,162,340
201949,2022-23,00,1610612754,IND,36.0,18,1,162,22,49,0.449,3,15,0.2,4,8,0.5,4,26,30,15,7,6,8,32,51
201949,2023-24,00,1610612754,IND,37.0,9,0,47,3,10,0.3,0,2,0.0,2,2,1.0,1,3,4,8,5,1,5,9,8
201949,2024-25,00,1610612754,IND,38.0,12,0,37,4,11,0.364,0,3,0.0,0,1,0.0,0,6,6,4,0,2,4,5,8
201570,2008-09,00,1610612749,MIL,22.0,59,0,716,102,245,0.416,16,46,0.348,58,83,0.699,44,71,115,42,15,29,52,107,278
201570,2009-10,00,1610612741,CHI,23.0,8,0,29,1,6,0.167,0,1,0.0,2,3,0.667,2,3,5,2,1,1,0,9,4
101124,2005-06,00,1610612763,MEM,23.0,68,2,724,101,228,0.443,0,0,0.0,76,115,0.661,43,101,144,30,14,21,56,113,278
101124,2006-07,00,1610612763,MEM,24.0,82,43,2152,373,712,0.524,0,8,0.0,299,388,0.771,130,290,420,75,43,30,161,232,1045
101124,2007-08,00,1610612763,MEM,25.0,75,30,1754,328,653,0.502,13,48,0.271,183,260,0.704,123,233,356,53,36,28,85,156,852
101124,2008-09,00,1610612763,MEM,26.0,82,7,2029,340,693,0.491,5,23,0.217,266,374,0.711,129,277,406,66,48,39,98,170,951
101124,2009-10,00,1610612749,MIL,27.0,48,6,1024,182,378,0.481,1,6,0.167,125,172,0.727,87,125,212,35,17,10,57,83,490
101124,2009-10,00,1610612741,CHI,27.0,28,0,533,83,172,0.483,0,1,0.0,77,102,0.755,40,62,102,17,7,8,23,43,243
